p,q,type,variable,value,se,pval
0,4,fit,AIC,-10327.28701286523,,
0,4,fit,BIC,-10129.18119732166,,
0,4,lbq_std,L1,16.37204645722213,,.0000520471935682
0,4,lbq_sq,L1,.2179647256216845,,.6405950903012992
0,4,lbq_std,L2,192.4633661907965,,1.61105752365e-42
0,4,lbq_sq,L2,5.953752531605593,,.0509517452462556
0,4,lbq_std,L3,578.4620585074048,,4.7031230111e-125
0,4,lbq_sq,L3,11.06062528747749,,.0114025282282977
0,4,lbq_std,L4,1168.994918322178,,8.3850144353e-252
0,4,lbq_sq,L4,14.20057761089228,,.0066816581952926
0,4,lbq_std,L5,1675.735775026613,,0
0,4,lbq_sq,L5,15.7207512394339,,.007688257612845
0,4,lbq_std,L10,2768.621398711589,,0
0,4,lbq_sq,L10,22.51354651236522,,.0126918007226245
0,4,lbq_std,L15,3659.334015436558,,0
0,4,lbq_sq,L15,28.07807416646518,,.0210853995850738
0,4,lbq_std,L20,4295.654835365692,,0
0,4,lbq_sq,L20,34.58500299793542,,.0224292354634813
0,4,coef,_cons,2.227943243179836,.4401690443192329,4.15833805834e-07
0,4,coef,wind_log,-.1951776722626116,.0074160274155428,0
0,4,coef,hydro_log_ds,-.7890351054836126,.1485473852852083,1.08623505746e-07
0,4,coef,consump_log_ds,2.163350023806264,.1034546705210039,0
0,4,coef,oil_log,-.0991232429974332,.1435891174137979,.4899894552355062
0,4,coef,gas_log,-.1730230617022256,.0624169222507161,.0055703842399251
0,4,coef,netexch_dk1,-.000021093741299,9.39495168838e-06,.0247539590382326
0,4,coef,netexch_fi,5.94719220280e-06,7.04820268406e-06,.3987876161569868
0,4,coef,netexch_no1,.0000144545616625,5.54551160985e-06,.0091463882374732
0,4,coef,netexch_se2,.0000107640912464,4.59528406570e-06,.0191590744860253
0,4,coef,netexch_se4,-.0000255189878668,3.88443446693e-06,5.04674080304e-11
0,4,coef,ma_L1,1.167609959215233,.0149322232313992,0
0,4,coef,ma_L2,.9945822064115537,.0175043718066877,0
0,4,coef,ma_L3,.65305777006058,.0105793619247879,0
0,4,coef,ma_L4,.2738173343375916,.0083835734226447,0
0,4,var_coef,omega,-11.659301139073,2.623345071901694,8.81208818937e-06
0,4,var_coef,arch1,.2089029426418408,.0254868176653586,2.22044604925e-16
0,4,var_coef,garch1,.6612971047801313,.0377211638948375,0
0,4,var_coef,het_wind_log,-.0326424853059134,.0450728812913228,.4689333618131974
0,4,var_coef,het_hydro_log_ds,-1.036576411270671,.9515849671418708,.276014707122294
0,4,var_coef,het_consump_log_ds,-.6612081472040207,.7421621762792832,.3729713517417705
0,4,var_coef,het_oil_log,1.255886344195496,.8767244259429777,.1520077575117318
0,4,var_coef,het_gas_log,.5224593977143217,.3789618786560957,.1679997591524147
0,4,var_coef,het_netexch_dk1,-.0002311870785159,.0001111325809827,.0374996989890386
0,4,var_coef,het_netexch_fi,-.0001750457549287,.0000665260944375,.0085075310942628
0,4,var_coef,het_netexch_no1,.0000749785087696,.0000740034278726,.3109760262181256
0,4,var_coef,het_netexch_se2,-.0001090790468816,.0000466291930735,.0193206053452206
0,4,var_coef,het_netexch_se4,.0001915413872697,.0000551026163812,.0005087906899111
0,4,var_coef,persistence,.8702000474219721,,
0,5,fit,N,8736,,
0,5,fit,ll,5515.801794104676,,
0,5,fit,AIC,-10973.60358820935,,
0,5,fit,BIC,-10768.4225649678,,
0,5,lbq_std,L1,3.385033571085985,,.0657908391494594
0,5,lbq_sq,L1,.004220976948252,,.9481986458189766
0,5,lbq_std,L2,71.23146775228125,,3.40630324806e-16
0,5,lbq_sq,L2,3.540861264411621,,.170259653746066
0,5,lbq_std,L3,222.6646423811827,,5.32954839895e-48
0,5,lbq_sq,L3,10.30938300376451,,.0161113128789498
0,5,lbq_std,L4,527.51824772758,,7.4768538156e-113
0,5,lbq_sq,L4,18.74311863323474,,.0008827293311096
0,5,lbq_std,L5,931.8559808485398,,3.3906597005e-199
0,5,lbq_sq,L5,18.97562652653951,,.0019423330023376
0,5,lbq_std,L10,1916.173244226015,,0
0,5,lbq_sq,L10,25.23357485487047,,.0049199183492143
0,5,lbq_std,L15,2546.264395241713,,0
0,5,lbq_sq,L15,31.79366458797938,,.0068675147588227
0,5,lbq_std,L20,2999.139999191935,,0
0,5,lbq_sq,L20,40.45375541837874,,.0043752378862651
0,5,coef,_cons,2.30730675674709,.4592955382501864,5.07177305931e-07
0,5,coef,wind_log,-.1971053138164433,.0075424702270591,0
0,5,coef,hydro_log_ds,-.7557888629296845,.1537239437702316,8.80902942813e-07
0,5,coef,consump_log_ds,2.060715316069326,.1072739107371193,0
0,5,coef,oil_log,-.1483848188624139,.1522217489892793,.3296625475501691
0,5,coef,gas_log,-.1275841667123083,.0670864050077879,.0571987846622708
0,5,coef,netexch_dk1,-.000023229096521,9.33106915883e-06,.0127946066309845
0,5,coef,netexch_fi,5.29623084835e-06,6.97436344646e-06,.4476219526364709
0,5,coef,netexch_no1,5.52459847249e-06,5.58991791140e-06,.3229985107534155
0,5,coef,netexch_se2,5.61331684486e-06,4.72430712616e-06,.2347633682621293
0,5,coef,netexch_se4,-.0000273073400793,3.82612639795e-06,9.53459533548e-13
