timestamp,price_ds,wind_log,consump_log_ds,north_wind_log,d_congested,north_wind_cong,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2025-02-09 19:00:00,-0.10922260957925989,6.517671272912275,0.016246111768449367,8.664232934065552,1.0,8.664232934065552,65.2,-446.2,0.0,7525.3,-4741.6
2025-02-09 20:00:00,-0.12793598290648944,6.52649485957079,0.011033086237961953,8.671115273688494,1.0,8.671115273688494,-63.2,-508.9,0.0,7493.8,-4660.9
2025-02-09 21:00:00,-0.14956678653819733,6.499787040655854,0.015187078228890982,8.687442166975924,1.0,8.687442166975924,-465.0,-608.8,0.0,7620.7,-4575.9
2025-02-09 22:00:00,-0.11770783919054928,6.476972362889683,0.015635626347423326,8.668539943910762,1.0,8.668539943910762,-715.0,-651.5,0.0,7531.9,-4464.6
2025-02-09 23:00:00,-0.07856486969647936,6.450470422144176,0.015426304537992763,8.668024081118821,1.0,8.668024081118821,-715.0,-671.2,0.0,7250.5,-4271.7
2025-02-10 00:00:00,-0.10198958512315492,6.705639094860003,0.006636877703767752,8.684401110400144,1.0,8.684401110400144,-614.8,-854.2,0.0,7005.4,-4432.6
2025-02-10 01:00:00,-0.0817481591361755,6.694562058521095,0.0066819915155758025,8.66681936537205,1.0,8.66681936537205,-715.0,-874.7,0.0,6925.2,-4290.6
2025-02-10 02:00:00,-0.059282685246162536,6.71174039505618,0.009414558182671229,8.636042325254618,1.0,8.636042325254618,-715.0,-898.1,0.0,6914.8,-4302.2
2025-02-10 03:00:00,-0.03466644379108441,6.729824070489475,0.01347578529840554,8.612503371220562,1.0,8.612503371220562,-715.0,-946.0,0.0,6776.7,-4211.0
2025-02-10 04:00:00,-0.06770642202454535,6.773080375655535,0.016928663814688605,8.60061479955531,1.0,8.60061479955531,-715.0,-926.0,0.0,6807.5,-4198.6
2025-02-10 05:00:00,-0.14798567114711947,6.807934943699926,0.019542061849275427,8.53934599605737,1.0,8.53934599605737,-426.3,-749.0,0.0,6936.7,-4332.5
2025-02-10 06:00:00,-0.2447218734983858,6.843749949006225,0.02307512639500331,8.475328987317539,1.0,8.475328987317539,64.8,-554.6,0.0,7213.8,-4719.8
2025-02-10 07:00:00,-0.053521379799782665,6.853299093186078,0.023748134972848334,8.377011160816375,1.0,8.377011160816375,664.8,-447.7,0.0,6978.2,-4911.0
2025-02-10 08:00:00,0.010846936184811362,6.816735880594968,0.023764419545804216,8.24380842366528,1.0,8.24380842366528,690.0,-412.2,0.0,7072.5,-4940.5
2025-02-10 09:00:00,0.06483079489750576,6.776506992372183,0.0217827418646106,8.109826276018477,1.0,8.109826276018477,685.0,-749.9,0.0,7243.2,-4904.3
2025-02-10 10:00:00,0.016707469808477704,6.692083742506628,0.01608415887548098,7.941651252930556,1.0,7.941651252930556,685.0,-1094.9,0.0,7127.0,-4701.6
2025-02-10 11:00:00,-0.09374982283898348,6.587550014824796,0.00854853074123696,7.752335163302292,1.0,7.752335163302292,685.0,-1200.0,0.0,6862.7,-4602.8
2025-02-10 12:00:00,-0.11522353568690225,6.520621127558696,0.0004482264086078658,7.5480289699350145,1.0,7.5480289699350145,205.4,-1200.0,0.0,7321.2,-4557.5
2025-02-10 13:00:00,-0.01602824136060743,6.448889394146858,-0.0026919397863292005,7.421177528595393,1.0,7.421177528595393,685.0,-1050.5,0.0,6373.4,-4468.6
2025-02-10 14:00:00,-0.07033895244597144,6.431331081933479,0.0006463946568171508,7.4798641311650265,1.0,7.4798641311650265,274.3,-1152.7,0.0,7010.8,-4459.8
2025-02-10 15:00:00,-0.03265162421212864,6.470799503782602,0.002619476724081693,7.693937325509272,1.0,7.693937325509272,685.0,-1148.3,0.0,6819.0,-4499.1
2025-02-10 16:00:00,-0.02354264303058251,6.580639137284949,0.010680989421759435,7.932721027481948,1.0,7.932721027481948,685.0,-1117.4,0.0,7039.1,-4615.3
2025-02-10 17:00:00,-0.07227464241070347,6.695798917058491,0.010432202304894389,8.098338846189057,1.0,8.098338846189057,702.0,-798.0,0.0,7423.5,-4980.1
2025-02-10 18:00:00,-0.11971564347482655,6.787844982309579,0.020476703230322357,8.216358332386156,1.0,8.216358332386156,692.0,-866.1,0.0,7430.2,-5005.7
2025-02-10 19:00:00,-0.15855903431339247,6.8308742346461795,0.017238124059685944,8.279950715722526,1.0,8.279950715722526,688.0,-813.5,0.0,7054.7,-4849.0
2025-02-10 20:00:00,-0.10002997262273539,6.8308742346461795,0.019107411396834806,8.33375100695358,1.0,8.33375100695358,685.0,-593.4,0.0,6412.1,-4614.0
2025-02-10 21:00:00,-0.07686697113582319,6.805722553416985,0.01820540417348937,8.342601680684194,1.0,8.342601680684194,685.0,-660.3,0.0,6188.8,-4536.5
2025-02-10 22:00:00,-0.13494210915890648,6.761572768804055,0.016264353010734922,8.329899292995725,1.0,8.329899292995725,316.0,-743.0,0.0,6354.3,-4408.0
2025-02-10 23:00:00,-0.11746269388434527,6.705639094860003,0.019595429742983228,8.310414994188292,1.0,8.310414994188292,-272.0,-825.1,0.0,6689.5,-4219.1
2025-02-11 00:00:00,0.05891041045195777,6.591673732008658,0.021255603977104798,8.299037181613066,1.0,8.299037181613066,328.0,-868.2,0.0,5938.8,-4133.0
2025-02-11 01:00:00,0.022795924973651793,6.522092798170152,0.02083204634700131,8.258163361537619,1.0,8.258163361537619,595.1,-883.1,0.0,5819.0,-4292.7
2025-02-11 02:00:00,-0.023610448384228988,6.464588303689961,0.024387268819481278,8.214465160759186,1.0,8.214465160759186,685.0,-864.4,0.0,5727.5,-4264.6
2025-02-11 03:00:00,-0.05614472841934148,6.434546518787453,0.02624923404065349,8.18060094759445,1.0,8.18060094759445,646.9,-773.9,0.0,5679.8,-4209.3
2025-02-11 04:00:00,-0.08009142950427073,6.424869023905388,0.0275102912743872,8.161375023197486,1.0,8.161375023197486,588.9,-794.5,0.0,5830.4,-4216.6
2025-02-11 05:00:00,-0.06284887995651012,6.450470422144176,0.021956093278355127,8.162801353492073,1.0,8.162801353492073,547.2,-709.5,0.0,6233.7,-4366.0
2025-02-11 06:00:00,-0.10259417231532986,6.481577129276431,0.016792835230711844,8.171599480345463,1.0,8.171599480345463,685.0,-432.6,0.0,6858.4,-4812.2
2025-02-11 07:00:00,-0.2550180884447597,6.502790045915623,0.012488915452484761,8.167068178341237,1.0,8.167068178341237,250.2,-106.7,60.7,7769.7,-5154.8
2025-02-11 08:00:00,-0.19436707075922133,6.456769655572163,0.01064645818033938,8.14757773620177,1.0,8.14757773620177,165.0,-39.3,112.3,7773.3,-5138.9
2025-02-11 09:00:00,-0.23922216782116124,6.415096959171596,0.006782372672253345,8.114324709155339,1.0,8.114324709155339,298.5,-301.5,194.3,7761.8,-5060.9
2025-02-11 10:00:00,-0.18205969612811224,6.318968113746434,0.004122185714164672,8.04237800517328,1.0,8.04237800517328,685.0,-523.9,0.0,7529.3,-4970.1
2025-02-11 11:00:00,-0.09523938997954673,6.16541785423142,0.007024893566645929,7.955775781534187,1.0,7.955775781534187,685.0,-776.1,0.0,7609.4,-4924.3
2025-02-11 12:00:00,-0.08686171675341559,6.07993319509559,0.00783841632258131,7.8724551500639794,1.0,7.8724551500639794,685.0,-745.0,0.0,7392.6,-4704.6
2025-02-11 13:00:00,-0.09767278045088457,6.049733455231958,0.005298714312068853,7.824046010856292,1.0,7.824046010856292,629.8,-427.9,0.0,6981.0,-4658.1
2025-02-11 14:00:00,-0.18174623834574,6.091309882077698,0.0073718572394625426,7.841492924460013,1.0,7.841492924460013,544.3,-197.4,0.0,6999.7,-4644.8
2025-02-11 15:00:00,-0.27865171236404507,6.194405391104672,0.008514427283438764,7.9211727215870145,1.0,7.9211727215870145,180.6,-65.3,0.0,7562.9,-4744.2
2025-02-11 16:00:00,-0.32461019937621316,6.364750756851911,0.015308330928046843,8.009363076630045,1.0,8.009363076630045,337.0,31.1,0.0,7678.5,-4926.7
2025-02-11 17:00:00,-0.29499684272193427,6.551080335043404,0.014093954205574022,8.080546965824498,1.0,8.080546965824498,-121.5,155.6,532.3,7715.6,-4944.6
2025-02-11 18:00:00,-0.29492662629565025,6.643789733147672,0.01745122151154277,8.131824785007195,1.0,8.131824785007195,-24.2,92.5,658.1,7686.5,-5226.1
2025-02-11 19:00:00,-0.3511809389314635,6.664409020350408,0.014466353874500015,8.17526610411206,1.0,8.17526610411206,-490.2,95.9,764.3,7688.0,-5065.4
2025-02-11 20:00:00,-0.37019323322976394,6.639875833826536,0.013742437307431743,8.219056661060598,1.0,8.219056661060598,-2.7,-109.2,0.0,7672.8,-4964.8
2025-02-11 21:00:00,-0.2744434834517726,6.595780513961311,0.011954890526764572,8.271804031154709,1.0,8.271804031154709,-279.5,-297.2,0.0,7604.4,-4876.1
2025-02-11 22:00:00,-0.2604877656021234,6.54965074223381,0.006760720262741771,8.323365694436081,1.0,8.323365694436081,-669.7,-509.3,0.0,7772.3,-4763.9
2025-02-11 23:00:00,-0.18392030629579992,6.492239835020471,0.0056103984526050255,8.34711636103872,1.0,8.34711636103872,-398.0,-601.6,0.0,7285.6,-4740.1
2025-02-12 00:00:00,-0.11337493708693014,6.251903883165888,0.013333158073242757,8.405367376233981,1.0,8.405367376233981,-715.0,-387.9,0.0,7369.2,-4718.4
2025-02-12 01:00:00,-0.08834079053264432,6.202535517187923,0.018173525078070796,8.386400901166214,1.0,8.386400901166214,-715.0,-560.3,0.0,7422.7,-4716.3
2025-02-12 02:00:00,-0.018938434432074658,6.150602768446279,0.01844061832118271,8.392763113038061,1.0,8.392763113038061,-715.0,-782.9,0.0,7612.1,-4705.6
2025-02-12 03:00:00,-0.009823143595184547,6.0844994130751715,0.018325037020076707,8.389132521348719,1.0,8.389132521348719,-715.0,-799.7,0.0,7423.5,-4504.4
