timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_fi,netexch_no4,netexch_se2,decoupled,wind_x_decoupled
2023-09-17 14:00:00,0.23473819223214543,7.3901814282264295,-0.018107007526698027,0.007753154739614132,4.508524474758559,3.5691877102773963,663.6,-378.0,-1185.6,0,0.0
2023-09-17 15:00:00,0.1849052286339159,7.254884810077338,-0.018107007526698027,0.00651162629642954,4.508302614078004,3.5680368959493403,839.3,-378.0,-1523.6,0,0.0
2023-09-17 16:00:00,0.13107276305788584,7.00850518208228,-0.018107007526698027,-0.0017265685489373794,4.508080704164364,3.566884755721656,699.7,-378.0,-1401.8,0,0.0
2023-09-17 17:00:00,0.11617480765319144,6.7464121285733745,-0.018107007526698027,0.0041791012804006655,4.507858744995785,3.5657312865355735,503.9,-104.6,-1433.4,0,0.0
2023-09-17 18:00:00,0.1239436291233238,6.566672429803241,-0.018107007526698027,0.006659611178311486,4.507636736550395,3.5645764853217266,224.1,0.0,-1236.3,0,0.0
2023-09-17 19:00:00,0.13735211884011367,6.505784060128229,-0.018107007526698027,0.01759521017752519,4.50741467880631,3.5634203490001037,0.0,0.0,-999.3,0,0.0
2023-09-17 20:00:00,0.1501722365682543,6.418364935936212,-0.018107007526698027,0.015021680964649065,4.507192571741631,3.562262874479998,0.0,0.0,-866.5,0,0.0
2023-09-17 21:00:00,0.13234509268911498,6.208590026096629,-0.018107007526698027,0.013069614961647602,4.506970415334445,3.5611040586599567,0.0,-37.5,-564.0,0,0.0
2023-09-17 22:00:00,0.12899056351364635,5.910796644040527,-0.018107007526698027,0.004460633960850835,4.506748209562822,3.559943898427734,-7.9,-71.7,-258.5,0,0.0
2023-09-17 23:00:00,0.12940461859271135,5.579729825986222,-0.018107007526698027,0.0028269610690143665,4.506525954404821,3.5587823906602387,-194.7,0.0,0.0,0,0.0
2023-09-18 00:00:00,0.05768296144929064,5.293304824724492,0.027955842235003914,0.0017649923194600348,4.5063036498384825,3.5576195322234847,-6.4,-230.8,-89.9,0,0.0
2023-09-18 01:00:00,0.053971466563313975,4.804021044733257,0.027955842235003914,0.0006244587748502894,4.5060812958418355,3.5564553199725397,-131.2,0.0,0.0,0,0.0
2023-09-18 02:00:00,0.05198369414375925,4.634728988229636,0.027955842235003914,-0.0028503853627981357,4.505858892392892,3.555289750751475,-41.3,0.0,0.0,0,0.0
2023-09-18 03:00:00,0.04799645927391438,4.795790545596741,0.027955842235003914,-0.0027092415639700107,4.505636439469652,3.5541228213933125,-42.8,0.0,0.0,0,0.0
2023-09-18 04:00:00,0.04475039442771234,5.267858159063328,0.027955842235003914,0.0016692549976387028,4.505413937050097,3.5529545287199764,-315.7,0.0,168.3,0,0.0
2023-09-18 05:00:00,0.02684615999486617,5.855071922202427,0.027955842235003914,0.0034561582919740985,4.505191385112197,3.5517848695422365,-1135.6,283.0,544.1,0,0.0
2023-09-18 06:00:00,-0.010877381264899455,6.267200548541362,0.027955842235003914,0.006153169588667851,4.504968783633907,3.550613840659661,-1260.0,265.2,523.5,0,0.0
2023-09-18 07:00:00,-0.049325120527530686,6.523562306149512,0.027955842235003914,0.007835464551940063,4.504746132593167,3.549441438860559,-1260.0,207.4,361.9,0,0.0
2023-09-18 08:00:00,-0.08176702948235803,6.693323668269949,0.027955842235003914,0.004288657776670313,4.5045234319678995,3.5482676609219324,-1280.0,155.5,192.5,0,0.0
2023-09-18 09:00:00,-0.08488642761728116,6.587550014824796,0.027955842235003914,0.0032259344802323398,4.504300681736016,3.5470925036094196,-1280.0,136.0,207.8,0,0.0
2023-09-18 10:00:00,-0.08090067151452018,6.3473892096560105,0.027955842235003914,0.0003282780439670674,4.5040778818754115,3.5459159636772424,-1280.0,178.2,274.5,0,0.0
2023-09-18 11:00:00,-0.07782114420202202,6.3561076606958915,0.027955842235003914,-0.0018278044216621936,4.503855032363967,3.5447380378681537,-1280.0,2.4,659.1,0,0.0
2023-09-18 12:00:00,-0.07853414336477016,6.472346294500901,0.027955842235003914,-0.004968089982972046,4.503632133179548,3.543558722913382,-1184.0,0.0,542.1,0,0.0
2023-09-18 13:00:00,-0.0684689531674385,6.594413459749778,0.027955842235003914,-0.007919107533803427,4.503409184300005,3.5423780155325773,-1229.1,0.0,496.9,0,0.0
