timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2025-11-07 09:00:00,0.37891610937730746,5.683817834236604,-0.17594028394277395,-0.07432023451645886,4.099282351251724,3.4515735889872223,0.0,437.05,2533.2,-7070.55
2025-11-07 10:00:00,0.3956433844927396,5.435995617806763,-0.17594028394277395,-0.07001726575709366,4.095926643404752,3.4515735889872223,0.0,516.95,2395.55,-6962.05
2025-11-07 11:00:00,0.40757226880864117,5.231159417703239,-0.17594028394277395,-0.06557547864735103,4.09637583113118,3.4515735889872223,0.0,535.275,2316.975,-6942.775000000001
2025-11-07 12:00:00,0.4101294058593332,5.133709492017163,-0.17594028394277395,-0.07318816617546542,4.092759974091862,3.4515735889872223,0.0,484.9,2246.75,-6945.45
2025-11-07 13:00:00,0.38540417995907816,5.184921879009814,-0.17594028394277395,-0.06848902283814162,4.09567700745588,3.4515735889872223,0.0,557.025,2171.4,-7025.725
2025-11-07 14:00:00,0.357343877852494,5.333637453293605,-0.17594028394277395,-0.07735071428604279,4.090252869318844,3.4515735889872223,0.0,465.425,2311.25,-7160.549999999999
2025-11-07 15:00:00,0.24872438631367633,5.52988929905816,-0.17594028394277395,-0.0706902149282671,4.080059684110733,3.4515735889872223,0.0,494.45,2284.3,-7181.7
2025-11-07 16:00:00,0.1981825279353444,5.7045222009912,-0.17594028394277395,-0.05364206907041602,4.079146318464204,3.4515735889872223,0.0,657.375,2329.775,-7402.9
2025-11-07 17:00:00,0.25752858994770467,5.874708796113978,-0.17594028394277395,-0.03225757555646158,4.076944047541933,3.4515735889872223,0.0,422.975,2338.175,-7245.125
2025-11-07 18:00:00,0.22645911001944619,6.02000037483316,-0.17594028394277395,-0.04285765685062337,4.081850164640412,3.4515735889872223,0.0,228.45,2344.725,-7167.85
2025-11-07 19:00:00,0.03205854158846222,6.1315927267579085,-0.17594028394277395,-0.036740180134912315,4.082305718610344,3.4515735889872223,0.0,52.09999999999999,2211.2,-6851.325
2025-11-07 20:00:00,0.0867209832007294,6.1802630001183845,-0.17594028394277395,-0.03812882492844771,4.084799149378569,3.4515735889872223,0.0,0.0,2108.4,-6730.25
2025-11-07 21:00:00,0.099729646270041,6.176222196716848,-0.17594028394277395,-0.042384461095364756,4.085387904179209,3.4515735889872223,0.0,0.0,2038.175,-6650.099999999999
2025-11-07 22:00:00,0.089158945799098,6.160453873367197,-0.17594028394277395,-0.045259460225098636,4.085757801284778,3.4515735889872223,-80.125,0.0,1701.9,-6199.224999999999
2025-11-07 23:00:00,0.03379829239142307,6.1262915063734935,-0.17594028394277395,-0.06565978401460093,4.087026181414421,3.4515735889872223,-330.625,0.0,1492.425,-5722.85
2025-11-08 00:00:00,0.16580157458475409,5.952901717501856,-0.17594028394277395,-0.057307686859687124,4.0882929547936655,3.439937209978086,-202.15,0.0,1551.4,-5901.0
2025-11-08 01:00:00,0.22388566944460386,5.992920985985789,-0.17594028394277395,-0.0544972433484503,4.088074949208505,3.439937209978086,-268.1,0.0,1523.75,-5718.950000000001
2025-11-08 02:00:00,0.22174203405439652,6.0671533672770614,-0.17594028394277395,-0.06299041960413732,4.088527676900536,3.439937209978086,-277.05,0.0,1481.4,-5735.75
2025-11-08 03:00:00,0.17555637152485826,6.1604053124078755,-0.17594028394277395,-0.059918571978220925,4.0900352906340025,3.439937209978086,-285.175,0.0,1423.4,-5745.724999999999
2025-11-08 04:00:00,0.1758452342365544,6.2378415982445965,-0.17594028394277395,-0.043823828210597604,4.088527676900536,3.439937209978086,-273.175,0.0,1405.275,-5795.825000000001
2025-11-08 05:00:00,0.2005184777025697,6.266828088294815,-0.17594028394277395,-0.047059922172249635,4.089700461728444,3.439937209978086,-213.85,0.0,1490.3,-5980.15
2025-11-08 06:00:00,0.23830523380856494,6.272745865872134,-0.17594028394277395,-0.04859819057925385,4.0913734862771465,3.439937209978086,-0.225,30.25,1611.05,-6332.474999999999
2025-11-08 07:00:00,0.23497467357735058,6.248074305349098,-0.17594028394277395,-0.05620304281895194,4.096458991905954,3.439937209978086,0.0,240.725,1638.925,-6558.724999999999
2025-11-08 08:00:00,0.2496409890798148,6.212849052207153,-0.17594028394277395,-0.03945989979872344,4.095377362034051,3.439937209978086,0.0,304.725,1709.9,-6767.5
2025-11-08 09:00:00,0.24724415541142708,6.213727210554372,-0.17594028394277395,-0.019023779262163032,4.096043118857682,3.439937209978086,0.0,283.275,1778.975,-6780.375
2025-11-08 10:00:00,0.1956982283613673,6.211066835545823,-0.17594028394277395,-0.016957531533856596,4.099199424948282,3.439937209978086,0.0,465.725,1820.2,-6916.925
2025-11-08 11:00:00,0.22738779054720393,6.185013465538738,-0.17594028394277395,-0.005191363312035513,4.096758313446036,3.439937209978086,0.0,432.05,1867.85,-6883.525
2025-11-08 12:00:00,0.26312092543095833,6.130672531729046,-0.17594028394277395,-0.01777425846800451,4.093711028248492,3.439937209978086,0.0,339.775,1878.8,-6841.5
2025-11-08 13:00:00,0.290735553845745,6.1163782104151165,-0.17594028394277395,-0.002585354260197903,4.093177214470094,3.439937209978086,0.0,313.3,1885.2,-6901.525000000001
2025-11-08 14:00:00,0.29529795559433314,6.186928015282214,-0.17594028394277395,-0.027232988088078613,4.0920419131594254,3.439937209978086,0.0,317.025,1909.025,-6932.425
