p,q,type,variable,value,se,pval
0,4,coef,oil_log,.1140919428239352,.0227377456075828,5.22846958173e-07
0,4,coef,gas_log,-.2598425418655635,.0132161880768909,0
0,4,coef,netexch_fi,-.0000413113309577,2.17124056549e-06,0
0,4,coef,netexch_no4,-.0000236264685544,5.70352083169e-06,.0000343636663707
0,4,coef,netexch_se2,-.000052347092552,2.53249438365e-06,0
0,4,coef,ma_L1,1.230424343599097,.0135874488460126,0
0,4,coef,ma_L2,1.128875269155678,.0151627835677897,0
0,4,coef,ma_L3,.7757961545133624,.0116036923837872,0
0,4,coef,ma_L4,.3391570005884824,.0090287511132021,0
0,4,var_coef,omega,-3.189097239620819,2.231510312553191,.1529695886979587
0,4,var_coef,arch1,.3287211777996056,.0302850591411458,0
0,4,var_coef,garch1,.5783935613601822,.0349762687333126,0
0,4,var_coef,het_wind_log,-.2945709984634172,.0477656867660315,6.95976831722e-10
0,4,var_coef,het_hydro_log_ds,-.0391853761072861,.2372167364953713,.8687959509368757
0,4,var_coef,het_consump_log_ds,3.195426802710986,.8102522954301804,.000080219632461
0,4,var_coef,het_oil_log,-.9913818010221294,.4829949994238222,.0401141478498515
0,4,var_coef,het_gas_log,.1382102039856289,.2767724267700554,.6175229302675533
0,4,var_coef,het_netexch_fi,-.0005278768805212,.000085776134478,7.54940776559e-10
0,4,var_coef,het_netexch_no4,-.0004716460795928,.0001476524256213,.001401705805566
0,4,var_coef,het_netexch_se2,-.0002442828855142,.0000692934307808,.0004229399895599
0,4,var_coef,persistence,.9071147391597878,,
0,5,fit,N,17519,,
0,5,fit,ll,30611.65338332149,,
0,5,fit,AIC,-61173.30676664297,,
0,5,fit,BIC,-60979.03073451207,,
0,5,lbq_std,L1,96.52370694230196,,8.81816139336e-23
0,5,lbq_sq,L1,5.578945285494693,,.0181776667923531
0,5,lbq_std,L2,515.5768336356687,,1.1064023192e-112
0,5,lbq_sq,L2,10.69235393458199,,.0047663380787379
0,5,lbq_std,L3,1186.244664833921,,7.0735394857e-257
0,5,lbq_sq,L3,13.11864653214854,,.004386925878061
0,5,lbq_std,L4,2048.617712922171,,0
0,5,lbq_sq,L4,14.81859955533102,,.0050926265096317
0,5,lbq_std,L5,2961.221043653889,,0
0,5,lbq_sq,L5,15.63896736985184,,.007954116125593
0,5,lbq_std,L10,5636.755598433519,,0
0,5,lbq_sq,L10,22.91307772439063,,.0110720101203206
0,5,lbq_std,L15,7817.363545712043,,0
0,5,lbq_sq,L15,26.24141116596829,,.035560502028366
0,5,lbq_std,L20,9310.381184308042,,0
0,5,lbq_sq,L20,29.82133600659435,,.0728008437696162
0,5,coef,_cons,.600659185090981,.1101216941733231,4.91098206545e-08
0,5,coef,wind_log,-.0436193883009517,.0023493823853742,0
0,5,coef,hydro_log_ds,-.0831833670678919,.0130773168957496,2.00588878840e-10
0,5,coef,consump_log_ds,.4557304477371125,.0235425237960392,0
0,5,coef,oil_log,.1204510581933231,.0246229589557509,9.99083079600e-07
0,5,coef,gas_log,-.2659225464800827,.0141358545032855,0
0,5,coef,netexch_fi,-.0000435499463122,2.11007113531e-06,0
0,5,coef,netexch_no4,-.0000247183549345,6.52380112854e-06,.0001512854819186
0,5,coef,netexch_se2,-.0000520339711346,2.61569884859e-06,0
0,5,coef,ma_L1,1.265384076771062,.0159852093106169,0
0,5,coef,ma_L2,1.241069120690435,.0216129962732308,0
0,5,coef,ma_L3,.9898431960772389,.0182132304617616,0
0,5,coef,ma_L4,.6042693387961009,.0120614373205964,0
0,5,coef,ma_L5,.2369430048106129,.0102594076257958,0
0,5,var_coef,omega,-2.915194801068088,2.278300414987889,.2007041384495212
0,5,var_coef,arch1,.3006771142049033,.0357115285384933,0
0,5,var_coef,garch1,.6086643441441519,.0479948745034199,0
0,5,var_coef,het_wind_log,-.2945826939780016,.0487863139802933,1.55819623870e-09
0,5,var_coef,het_hydro_log_ds,-.050709074245883,.2525209133125615,.8408460606274626
0,5,var_coef,het_consump_log_ds,3.258747521788823,.8647170271886618,.00016418477916
0,5,var_coef,het_oil_log,-1.04408161928913,.4874103427727033,.0321854484525754
0,5,var_coef,het_gas_log,.1098530505842381,.2916812145960456,.7064558402593066
0,5,var_coef,het_netexch_fi,-.0004858054361772,.0000861753504491,1.72630798545e-08
0,5,var_coef,het_netexch_no4,-.0004261454806914,.0001532042732856,.0054099850254932
0,5,var_coef,het_netexch_se2,-.0002226249042805,.0000723934633964,.0021035631702349
0,5,var_coef,persistence,.9093414583490552,,
1,0,fit,N,17519,,
1,0,fit,ll,32163.0602750441,,
1,0,fit,AIC,-64284.12055008819,,
1,0,fit,BIC,-64120.92868309824,,
1,0,lbq_std,L1,323.7238689603266,,2.23756867217e-72
1,0,lbq_sq,L1,.0573823753798429,,.8106820871979191
1,0,lbq_std,L2,352.6163900810627,,2.69354217211e-77
1,0,lbq_sq,L2,3.739265852886939,,.1541802469206319
1,0,lbq_std,L3,372.7697442710296,,1.74944102251e-80
1,0,lbq_sq,L3,4.785637478343016,,.1881838101707601
1,0,lbq_std,L4,472.9584630340618,,4.7206336987e-101
1,0,lbq_sq,L4,5.038302243948311,,.2833899768146195
1,0,lbq_std,L5,564.3752591542469,,1.0044928721e-119
1,0,lbq_sq,L5,5.123775185185214,,.4009621567119516
1,0,lbq_std,L10,800.9240040834568,,1.3060056777e-165
1,0,lbq_sq,L10,66.02486934662815,,2.57963834121e-10
1,0,lbq_std,L15,911.6472409476248,,1.1339322899e-184
1,0,lbq_sq,L15,84.55140118471438,,1.01809393414e-11
1,0,lbq_std,L20,1041.693232804653,,4.9816053680e-208
1,0,lbq_sq,L20,92.27749698877913,,2.95535193426e-11
1,0,coef,_cons,-.0249730099633716,.3646825431002962,.9454045239123974
1,0,coef,wind_log,-.0192360238551861,.0027598183377802,3.16857651228e-12
1,0,coef,hydro_log_ds,-.0200921772809685,.0227908927866291,.377999654078675
1,0,coef,consump_log_ds,.3438014223758299,.0311720060593188,0
1,0,coef,oil_log,.201484934933759,.0800428079788809,.0118286715721803
1,0,coef,gas_log,-.2118882362809469,.0538500505767549,.0000832720736048
1,0,coef,netexch_fi,-.0000239202532544,2.58844280403e-06,0
1,0,coef,netexch_no4,-.0000213429429569,9.43567620739e-06,.023701048258953
1,0,coef,netexch_se2,-.0000400052961941,4.50175910090e-06,0
1,0,coef,ar_L1,.9700336979234739,.0050101746769599,0
1,0,var_coef,omega,-4.128615604715283,2.038167346686539,.0428005673183689
1,0,var_coef,arch1,.4360547354242688,.0851920215928589,3.07987255921e-07
1,0,var_coef,garch1,.3713429174906387,.1213064739659497,.0022045458172575
1,0,var_coef,het_wind_log,-.3076650017425568,.0486914963031086,2.63841393178e-10
1,0,var_coef,het_hydro_log_ds,.0887660318737491,.2264743111199681,.6950970319625571
1,0,var_coef,het_consump_log_ds,2.812274224346185,.9512859613729924,.003113673128742
1,0,var_coef,het_oil_log,-.4419285404941579,.4557599556957171,.3322199970508781
1,0,var_coef,het_gas_log,-.0747194058247432,.2868468339219131,.7944893931597738
1,0,var_coef,het_netexch_fi,-.0005408325823792,.000079840025272,1.25310872789e-11
1,0,var_coef,het_netexch_no4,-.0004345536618333,.0001838464524081,.0180945726107575
1,0,var_coef,het_netexch_se2,-.0001818032349205,.0000815833700882,.0258515232764192
1,0,var_coef,persistence,.8073976529149075,,
1,1,fit,N,17519,,
1,1,fit,ll,32367.44217667544,,
1,1,fit,AIC,-64690.88435335088,,
1,1,fit,BIC,-64519.92144507569,,
1,1,lbq_std,L1,6.489013883089497,,.0108543171538187
1,1,lbq_sq,L1,.1390334815740694,,.7092437590898344
1,1,lbq_std,L2,60.51771456400756,,7.22345969244e-14
1,1,lbq_sq,L2,4.141765921172375,,.1260744138072235
1,1,lbq_std,L3,75.89032676914645,,2.33491898264e-16
1,1,lbq_sq,L3,5.308233255401771,,.1505690389182239
1,1,lbq_std,L4,134.2479422289848,,4.80540169981e-28
1,1,lbq_sq,L4,6.012065405212598,,.1982490318440585
1,1,lbq_std,L5,177.2261323454042,,2.09302949532e-36
1,1,lbq_sq,L5,6.395624648236185,,.2696030205616252
1,1,lbq_std,L10,316.7206258907773,,4.51235072593e-62
1,1,lbq_sq,L10,52.8891720357564,,7.80723267645e-08
1,1,lbq_std,L15,419.3695981454941,,5.84398667574e-80
1,1,lbq_sq,L15,73.70124384882796,,9.70903603760e-10
1,1,lbq_std,L20,478.5846102641369,,8.78707138993e-89
1,1,lbq_sq,L20,81.26797201440712,,2.38918905536e-09
1,1,coef,_cons,.1342603115578426,.3191400081718409,.6739784859104887
1,1,coef,wind_log,-.019545283671474,.0027951405137507,2.69850808365e-12
1,1,coef,hydro_log_ds,-.0240540576503863,.0231080543404447,.2979042079140148
1,1,coef,consump_log_ds,.3682638773788736,.0283494353918139,0
1,1,coef,oil_log,.1930684839209427,.0708002438505989,.0063923384041165
1,1,coef,gas_log,-.2512059086646611,.0427756452798552,4.28912660944e-09
1,1,coef,netexch_fi,-.0000283624934113,2.16899346809e-06,0
1,1,coef,netexch_no4,-.0000196505755236,7.29359924651e-06,.0070553155746871
1,1,coef,netexch_se2,-.0000420432862068,3.63306632460e-06,0
1,1,coef,ar_L1,.9574411967271179,.0057997722419986,0
1,1,coef,ma_L1,.202710935317903,.0173624479589645,0
1,1,var_coef,omega,-4.400054995621315,1.958324463715216,.0246498215745155
1,1,var_coef,arch1,.4009353348564221,.0616133561173266,7.65238983291e-11
1,1,var_coef,garch1,.4141274447910231,.0920448686347584,6.82125499041e-06
1,1,var_coef,het_wind_log,-.3231679716133734,.0469999183882637,6.15885120681e-12
1,1,var_coef,het_hydro_log_ds,.122713470905412,.2247038765248891,.5849889898378213
1,1,var_coef,het_consump_log_ds,3.048223263957061,.9332906982659019,.0010903869855992
1,1,var_coef,het_oil_log,-.4709956711608422,.4365023397279102,.2805778759661097
1,1,var_coef,het_gas_log,.0283215415990919,.2843847896795008,.9206707812987562
1,1,var_coef,het_netexch_fi,-.0005249534461938,.0000787985444491,2.70183875273e-11
1,1,var_coef,het_netexch_no4,-.0004508341859429,.0001692699609473,.007735462322372
1,1,var_coef,het_netexch_se2,-.0002261369399691,.0000684288566892,.0009507762974212
1,1,var_coef,persistence,.8150627796474452,,
1,2,fit,N,17519,,
1,2,fit,ll,32403.12127173791,,
1,2,fit,AIC,-64760.24254347583,,
1,2,fit,BIC,-64581.5085939154,,
1,2,lbq_std,L1,.8960942197620599,,.3438311577289391
1,2,lbq_sq,L1,.1825955752972277,,.6691520680817934
1,2,lbq_std,L2,2.856735578741597,,.2396998437566394
1,2,lbq_sq,L2,3.85309868665631,,.1456499202200215
1,2,lbq_std,L3,4.226974948593702,,.2379750198193283
1,2,lbq_sq,L3,4.819057755226071,,.1855363276567618
1,2,lbq_std,L4,57.19966455551567,,1.12341419883e-11
1,2,lbq_sq,L4,5.521652901873772,,.2378327182559139
1,2,lbq_std,L5,87.45985141357716,,2.29443861772e-17
1,2,lbq_sq,L5,5.898742847411671,,.3161967252550888
1,2,lbq_std,L10,199.0292574107006,,2.57224913612e-37
1,2,lbq_sq,L10,48.0161455644732,,6.16471030050e-07
1,2,lbq_std,L15,301.1707106884562,,3.19223588673e-55
1,2,lbq_sq,L15,66.47125885347243,,1.88426040233e-08
1,2,lbq_std,L20,343.250138857852,,1.09367991106e-60
1,2,lbq_sq,L20,73.62730650759781,,4.60775476816e-08
1,2,coef,_cons,.1888560461293018,.3117073825584422,.5445970463972134
1,2,coef,wind_log,-.019537934437706,.0028429449213165,6.31183993960e-12
1,2,coef,hydro_log_ds,-.0250906696966945,.0232231548571885,.2799569430585316
1,2,coef,consump_log_ds,.3537071508546248,.028576869206957,0
1,2,coef,oil_log,.1855588618952592,.0690036989903756,.0071641796398059
1,2,coef,gas_log,-.2590583684451369,.0402475120509225,1.22154730775e-10
1,2,coef,netexch_fi,-.0000301865668151,2.25089583004e-06,0
1,2,coef,netexch_no4,-.0000210182605839,7.70658549172e-06,.006385269490961
1,2,coef,netexch_se2,-.0000430441481972,3.72796535419e-06,0
1,2,coef,ar_L1,.9517231546758966,.0063590560654377,0
1,2,coef,ma_L1,.2275362339935399,.0193042558798545,0
1,2,coef,ma_L2,.082963656063798,.0164263310147864,4.40308165928e-07
1,2,var_coef,omega,-4.11766595285142,1.967767740948093,.0363887279102939
1,2,var_coef,arch1,.3987412966542491,.0580775159390108,6.61781740519e-12
1,2,var_coef,garch1,.4193650262190535,.0851922606272384,8.54141775308e-07
1,2,var_coef,het_wind_log,-.3249109028705278,.0475927352727866,8.67683702666e-12
1,2,var_coef,het_hydro_log_ds,.1120711104933981,.2249560167303246,.6183492763373042
1,2,var_coef,het_consump_log_ds,2.98299628839283,.9341369528133642,.0014064799621361
1,2,var_coef,het_oil_log,-.5278915041975545,.4333154852848234,.2231246759083998
1,2,var_coef,het_gas_log,.0186607645226014,.2869261163308559,.9481446776800921
1,2,var_coef,het_netexch_fi,-.0005205382321372,.0000789040255303,4.19260182127e-11
1,2,var_coef,het_netexch_no4,-.0004411364189934,.0001711439221356,.0099496078750227
1,2,var_coef,het_netexch_se2,-.0002190272650173,.0000699806510559,.0017490984131263
1,2,var_coef,persistence,.8181063228733026,,
1,3,fit,N,17519,,
1,3,fit,ll,32405.93696930546,,
1,3,fit,AIC,-64763.87393861092,,
1,3,fit,BIC,-64577.36894776527,,
1,3,lbq_std,L1,.6030630154410788,,.4374117276535494
1,3,lbq_sq,L1,.1960011292046452,,.6579681675070956
1,3,lbq_std,L2,1.317765871379797,,.517429013263187
