p,q,type,variable,value,se,pval
0,3,coef,netexch_se3,-8.25762694195e-05,4.48393987299e-06,0.0
0,3,coef,ma_L1,1.193527182334946,0.0176818087668366,0.0
0,3,coef,ma_L2,0.8814734529085635,0.0145523833888656,0.0
0,3,coef,ma_L3,0.3587753509112276,0.0083595031255409,0.0
0,3,var_coef,omega,-3.109829618163658,3.971605845134596,0.433617909243305
0,3,var_coef,arch1,0.4162784192534634,0.0293405436437829,0.0
0,3,var_coef,garch1,0.4029032363972583,0.0296598802281523,0.0
0,3,var_coef,het_wind_log,-0.8477564895982207,0.0602516938542861,0.0
0,3,var_coef,het_hydro_log_ds,-1.929812192064045,0.9767839203334884,0.0481910620866826
0,3,var_coef,het_consump_log_ds,4.865916053703957,1.09951724049697,9.62181408748e-06
0,3,var_coef,het_oil_log,1.613753958742628,1.345110144278008,0.2302485602745565
0,3,var_coef,het_gas_log,-1.021576923222314,0.5914043385719056,0.0841003818321768
0,3,var_coef,het_netexch_no3,4.22341125357e-05,9.73483629572e-05,0.6644009118045386
0,3,var_coef,het_netexch_no4,-8.5356489969e-05,0.0002794915164735,0.7600621189389445
0,3,var_coef,het_netexch_se1,-9.52428690376e-05,0.0001302075816905,0.4644924540185449
0,3,var_coef,het_netexch_se3,-7.13571437971e-05,0.000115551260002,0.5368807819558565
0,3,var_coef,persistence,0.8191816556507217,,
1,0,fit,N,8736.0,,
1,0,fit,ll,9319.214153922536,,
1,0,fit,AIC,-18592.42830784507,,
1,0,fit,BIC,-18429.69853079143,,
1,0,lbq_std,L1,203.1991352904908,,4.18539002687e-46
1,0,lbq_sq,L1,1.063925112440872,,0.3023216620000441
1,0,lbq_std,L2,205.1838758145605,,2.7853994089799996e-45
1,0,lbq_sq,L2,1.078937513204739,,0.5830579157815817
1,0,lbq_std,L3,221.1051273672653,,1.15830290274e-47
1,0,lbq_sq,L3,1.084493558792081,,0.7808186574519683
1,0,lbq_std,L4,243.7128207718829,,1.4717403836599998e-51
1,0,lbq_sq,L4,1.30241758433648,,0.8609652192225036
1,0,lbq_std,L5,268.5913138713788,,5.61611133122e-56
1,0,lbq_sq,L5,1.326638461407469,,0.9321668780549944
1,0,lbq_std,L10,288.9528194856493,,3.3556432643e-56
1,0,lbq_sq,L10,2.089665108707333,,0.9956055838675488
1,0,lbq_std,L15,304.6555263568044,,6.02049369839e-56
1,0,lbq_sq,L15,2.481911202207225,,0.9998785695243346
1,0,lbq_std,L20,323.3296238705809,,1.35628792615e-56
1,0,lbq_sq,L20,11.24587282922647,,0.939595291256314
1,0,coef,_cons,0.8859404734441816,0.7840665964288798,0.2585056656520734
1,0,coef,wind_log,-0.1438917991592016,0.0147981250538798,0.0
1,0,coef,hydro_log_ds,0.2117380834321378,0.1866285789145692,0.2565669919076345
1,0,coef,consump_log_ds,0.4765341925778907,0.128227465950577,0.0002021461806059
1,0,coef,oil_log,-0.0004909631371334,0.2304284021436029,0.99829998556164
1,0,coef,gas_log,-0.0256890070239486,0.1202577765206007,0.8308463795953438
1,0,coef,netexch_no3,-5.63363551292e-05,6.00691384932e-06,0.0
1,0,coef,netexch_no4,-5.84099992556e-05,6.18268955027e-06,0.0
1,0,coef,netexch_se1,-4.92352495486e-05,5.48040775734e-06,0.0
1,0,coef,netexch_se3,-4.5926316831e-05,5.8686632467e-06,5.10702591328e-15
1,0,coef,ar_L1,0.9559142434899662,0.0073277913199491,0.0
1,0,var_coef,omega,0.1358353855978296,3.85420983492008,0.9718856706797174
1,0,var_coef,arch1,0.7202862984586244,0.0968743126844858,1.04360964315e-13
1,0,var_coef,garch1,0.2036419313928124,0.0406003431608579,5.2821838592e-07
1,0,var_coef,het_wind_log,-0.8400894515869511,0.0621818984641657,0.0
1,0,var_coef,het_hydro_log_ds,-2.002377241228379,1.130439341222297,0.076506411496357
1,0,var_coef,het_consump_log_ds,4.846584496011292,1.169978880246534,3.436082719e-05
1,0,var_coef,het_oil_log,0.15035843544838,1.319428281004098,0.9092716719692912
1,0,var_coef,het_gas_log,-0.1983108721242469,0.5987786529124083,0.7404992450370422
1,0,var_coef,het_netexch_no3,0.0002741177662241,0.0001279795174023,0.0322025122996008
1,0,var_coef,het_netexch_no4,-9.09816487642e-05,0.0002854287122124,0.7499127836481594
1,0,var_coef,het_netexch_se1,-0.0002220310046454,0.0001238000837001,0.0728987473866018
1,0,var_coef,het_netexch_se3,-8.01862519689e-05,0.0001040894992484,0.4410871413238582
1,0,var_coef,persistence,0.9239282298514369,,
1,1,fit,N,8736.0,,
1,1,fit,ll,9420.101635874476,,
1,1,fit,AIC,-18792.20327174895,,
1,1,fit,BIC,-18622.39828699732,,
1,1,lbq_std,L1,29.58541701546647,,5.35059811848e-08
1,1,lbq_sq,L1,1.082503619503857,,0.2981381536602552
1,1,lbq_std,L2,35.22800989743023,,2.24044788656e-08
1,1,lbq_sq,L2,1.094200317759313,,0.5786253013196523
1,1,lbq_std,L3,48.03081819388426,,2.09756571667e-10
1,1,lbq_sq,L3,1.105594378250276,,0.7757237529834465
1,1,lbq_std,L4,59.99684044496369,,2.90530139708e-12
1,1,lbq_sq,L4,1.412335771731434,,0.8420481908638122
1,1,lbq_std,L5,76.63981668478627,,4.22923945568e-15
1,1,lbq_sq,L5,1.441316961208204,,0.9197408515733608
1,1,lbq_std,L10,89.7186858380783,,6.08988426837e-15
1,1,lbq_sq,L10,2.096411034895713,,0.9955463878728376
1,1,lbq_std,L15,110.3325489275793,,1.39201602541e-16
1,1,lbq_sq,L15,2.757875356306003,,0.999762419173788
1,1,lbq_std,L20,120.8582995942322,,1.97712258071e-16
1,1,lbq_sq,L20,11.07337296201178,,0.9442974987557924
1,1,coef,_cons,0.8563970679146662,0.7029803847963128,0.2231337322783125
1,1,coef,wind_log,-0.1489715158260392,0.0152773906407733,0.0
1,1,coef,hydro_log_ds,0.2289192203865272,0.176329152500751,0.1942016401309727
1,1,coef,consump_log_ds,0.4787892982759513,0.1245449602319409,0.0001208926522538
1,1,coef,oil_log,-0.0449515228037388,0.2179584443342936,0.836604256549843
1,1,coef,gas_log,0.0342712013304266,0.1131889886237804,0.7620586077810134
1,1,coef,netexch_no3,-5.8044679018e-05,5.60357830318e-06,0.0
1,1,coef,netexch_no4,-5.81630904989e-05,5.85286237077e-06,0.0
1,1,coef,netexch_se1,-5.38098847234e-05,5.26339421985e-06,0.0
1,1,coef,netexch_se3,-4.96632760535e-05,5.55496227568e-06,0.0
1,1,coef,ar_L1,0.9450863344118356,0.0079238988711682,0.0
1,1,coef,ma_L1,0.1916718449210484,0.0179691635481295,0.0
1,1,var_coef,omega,-2.120925118775762,4.036431195309396,0.5992734424637813
1,1,var_coef,arch1,0.6795809389092804,0.0872472375715247,6.66133814775e-15
1,1,var_coef,garch1,0.2125518928468781,0.03965367493651,8.31267989998e-08
1,1,var_coef,het_wind_log,-0.826364196305859,0.0625877719247926,0.0
1,1,var_coef,het_hydro_log_ds,-1.842014486036883,1.130403614712913,0.1032031364871295
1,1,var_coef,het_consump_log_ds,5.103762222089404,1.167017605907319,1.22361158901e-05
1,1,var_coef,het_oil_log,0.9166593047631968,1.387110435929197,0.508714352281709
1,1,var_coef,het_gas_log,-0.4446196422788057,0.6076521858578436,0.4643511560196301
1,1,var_coef,het_netexch_no3,0.0002861482668994,0.0001250223640572,0.0220923331460594
1,1,var_coef,het_netexch_no4,-0.0001134411554752,0.0002887898154499,0.6944556540955311
1,1,var_coef,het_netexch_se1,-0.0001813866628211,0.0001310462902964,0.1663150056399743
1,1,var_coef,het_netexch_se3,-4.728024485e-05,0.0001113087673477,0.6710068398147295
1,1,var_coef,persistence,0.8921328317561585,,
1,2,fit,N,8736.0,,
1,2,fit,ll,9443.926576911092,,
1,2,fit,AIC,-18837.85315382219,,
1,2,fit,BIC,-18660.97296137257,,
1,2,lbq_std,L1,19.00282191660982,,1.30525275789e-05
1,2,lbq_sq,L1,1.290620226349702,,0.2559336823084896
1,2,lbq_std,L2,22.37700567464562,,1.3832317756e-05
1,2,lbq_sq,L2,1.374174726418486,,0.5030391075938003
1,2,lbq_std,L3,25.03898253235786,,1.51534121902e-05
1,2,lbq_sq,L3,1.425407560097332,,0.6995900143324962
1,2,lbq_std,L4,34.18865186424573,,6.81664982766e-07
1,2,lbq_sq,L4,1.532395344386998,,0.8208879620097779
1,2,lbq_std,L5,46.52432728603939,,7.10234566106e-09
1,2,lbq_sq,L5,1.582262044622251,,0.9033860236662944
1,2,lbq_std,L10,57.23767152711605,,1.20269706665e-08
1,2,lbq_sq,L10,2.284463875152779,,0.9936584575705492
1,2,lbq_std,L15,81.60774666020573,,3.54522769051e-11
1,2,lbq_sq,L15,3.128224468797661,,0.999479141080003
1,2,lbq_std,L20,88.80009776081941,,1.20077109461e-10
1,2,lbq_sq,L20,12.11524574431508,,0.9120521740723478
1,2,coef,_cons,0.9187518926377702,0.6764475644404793,0.1743998504593598
1,2,coef,wind_log,-0.1498951371995773,0.015632268294456,0.0
1,2,coef,hydro_log_ds,0.2279712558626068,0.1742312138117974,0.1907237890097255
1,2,coef,consump_log_ds,0.4920912197683237,0.1230821692325432,6.38608668162e-05
1,2,coef,oil_log,-0.073600991637724,0.2115669029651528,0.7279264101905532
1,2,coef,gas_log,0.0485883912738854,0.1117249011836801,0.6636400060078933
1,2,coef,netexch_no3,-5.94222452004e-05,5.72236865205e-06,0.0
1,2,coef,netexch_no4,-5.96324821419e-05,5.77586387569e-06,0.0
1,2,coef,netexch_se1,-5.53714242048e-05,5.1468582866e-06,0.0
1,2,coef,netexch_se3,-5.12795356647e-05,5.64397885361e-06,0.0
