zone,start_year,end_year,quantile,type,variable,value,se,pval,stars
SE3,2015,2015,.99,coef,gas_log,.0566653526165101,.1596566287759575,.722649421902839,
SE3,2015,2015,.99,coef,netexch_dk1,-.000109617998301,.000026234228593,.0000293522871786,***
SE3,2015,2015,.99,coef,netexch_fi,-.0000212331263195,.0000299693340414,.4786378539952769,
SE3,2015,2015,.99,coef,netexch_no1,.0000312736435425,.00001245344271,.0120306228905425,**
SE3,2015,2015,.99,coef,netexch_se2,.0000537886178526,7.45259535044e-06,5.29798427351e-13,***
SE3,2015,2015,.99,coef,netexch_se4,.0000820595387235,.0000139821016448,4.38699254701e-09,***
SE3,2015,2015,.99,coef,ar_L1,.7361471099808428,.0928129405117304,2.22044604925e-15,***
SE3,2015,2015,.99,coef,ar_L2,-.0578997498912819,.0908078529204195,.5237293426989056,
SE3,2016,2016,.1,fit,N,8756,,,
SE3,2016,2016,.1,lbq,L24,1239.303505731567,,1.0206991942e-246,***
SE3,2016,2016,.1,coef,_cons,.0424578234287534,.0350681280032539,.2260012095863708,
SE3,2016,2016,.1,coef,wind_log,-.0073742605327043,.0010590237338107,3.32489591415e-12,***
SE3,2016,2016,.1,coef,hydro_log_ds,.0017302194490087,.0186252688774673,.9259859075130279,
SE3,2016,2016,.1,coef,consump_log_ds,.1560243631577285,.0176084402104084,0,***
SE3,2016,2016,.1,coef,oil_log,-.0243282225052981,.0093730809119614,.0094441938041365,***
SE3,2016,2016,.1,coef,gas_log,.0200795794063293,.0077861276343336,.00991178752565,***
SE3,2016,2016,.1,coef,netexch_dk1,-6.58235338984e-06,3.10838679995e-06,.0342080446286308,**
SE3,2016,2016,.1,coef,netexch_fi,9.87766591745e-06,2.09213248085e-06,2.34297471069e-06,***
SE3,2016,2016,.1,coef,netexch_no1,-2.53040415605e-06,1.64027294240e-06,.1229102285577039,
SE3,2016,2016,.1,coef,netexch_se2,-9.82968225963e-06,9.13504230089e-07,0,***
SE3,2016,2016,.1,coef,netexch_se4,-.0000120743631355,1.42391248259e-06,0,***
SE3,2016,2016,.1,coef,ar_L1,1.050843012137678,.0170691234666057,0,***
SE3,2016,2016,.1,coef,ar_L2,-.1839184856385013,.0170289733170419,0,***
SE3,2016,2016,.25,fit,N,8756,,,
SE3,2016,2016,.25,lbq,L24,494.1150657720998,,2.77712483760e-89,***
SE3,2016,2016,.25,coef,_cons,.0555297993272519,.0151545755589536,.0002480870496275,***
SE3,2016,2016,.25,coef,wind_log,-.0038017058478398,.0006516907162503,5.42426326078e-09,***
SE3,2016,2016,.25,coef,hydro_log_ds,.0163244779862641,.0084697500572991,.0539315385992634,*
SE3,2016,2016,.25,coef,consump_log_ds,.0906618404022731,.0086936484874718,0,***
SE3,2016,2016,.25,coef,oil_log,-.0153729612415159,.0045254807190432,.0006813429046579,***
SE3,2016,2016,.25,coef,gas_log,.004457595146577,.0041326531051014,.2807536163830171,
SE3,2016,2016,.25,coef,netexch_dk1,-5.05109408299e-06,1.63062199694e-06,.0019506251857888,***
SE3,2016,2016,.25,coef,netexch_fi,8.02360325308e-06,1.19214216967e-06,1.69186886723e-11,***
SE3,2016,2016,.25,coef,netexch_no1,-9.21135910560e-07,7.69564540824e-07,.2313231904959618,
SE3,2016,2016,.25,coef,netexch_se2,-4.09383735160e-06,4.66904432973e-07,0,***
SE3,2016,2016,.25,coef,netexch_se4,-4.96057789358e-06,7.43540847114e-07,2.53097542924e-11,***
SE3,2016,2016,.25,coef,ar_L1,1.121529562746808,.0089367672516787,0,***
SE3,2016,2016,.25,coef,ar_L2,-.2138646865834711,.0089573991891066,0,***
SE3,2016,2016,.5,fit,N,8756,,,
SE3,2016,2016,.5,lbq,L24,490.1471785703232,,1.84865599780e-88,***
SE3,2016,2016,.5,coef,_cons,.0410937244669102,.0113871235598508,.0003076298701987,***
SE3,2016,2016,.5,coef,wind_log,-.002491493603868,.0004882151796458,3.33835175947e-07,***
SE3,2016,2016,.5,coef,hydro_log_ds,.0122593148403783,.0062521712455839,.0499012855283218,**
SE3,2016,2016,.5,coef,consump_log_ds,.0465065245225462,.0066717084959627,3.15347747915e-12,***
SE3,2016,2016,.5,coef,oil_log,-.0105957340823104,.0031465655198066,.0007588147160633,***
SE3,2016,2016,.5,coef,gas_log,.006424827482249,.0033643467384597,.0561743585835894,*
SE3,2016,2016,.5,coef,netexch_dk1,-3.15953207030e-06,1.20346832164e-06,.0086558563135508,***
SE3,2016,2016,.5,coef,netexch_fi,5.50446286981e-06,9.65936735137e-07,1.20813028470e-08,***
SE3,2016,2016,.5,coef,netexch_no1,3.80199457059e-07,6.02765552790e-07,.5281984842750871,
SE3,2016,2016,.5,coef,netexch_se2,-9.10871828648e-07,3.67460054810e-07,.0131813288514955,**
SE3,2016,2016,.5,coef,netexch_se4,-1.83685915732e-06,5.71831806841e-07,.0013170578044857,***
SE3,2016,2016,.5,coef,ar_L1,1.123933621581977,.0071939355535232,0,***
SE3,2016,2016,.5,coef,ar_L2,-.1891901942600957,.0070973905751741,0,***
SE3,2016,2016,.75,fit,N,8756,,,
SE3,2016,2016,.75,lbq,L24,510.3584369896898,,1.17563712244e-92,***
SE3,2016,2016,.75,coef,_cons,.0270469890303398,.0138557425049621,.0509332378962475,*
SE3,2016,2016,.75,coef,wind_log,-.0017434338177754,.0006630411324538,.0085522988977771,***
SE3,2016,2016,.75,coef,hydro_log_ds,-.003595743928948,.008411294093223,.6690224830565945,
SE3,2016,2016,.75,coef,consump_log_ds,.0315096970629083,.0082002926379758,.0001217830195976,***
SE3,2016,2016,.75,coef,oil_log,-.0087388578788367,.0040794291431225,.0321792692754692,**
SE3,2016,2016,.75,coef,gas_log,.0151704046276988,.0039793089823095,.0001376677239582,***
SE3,2016,2016,.75,coef,netexch_dk1,-4.20227037223e-06,1.55699246436e-06,.0069555194985556,***
SE3,2016,2016,.75,coef,netexch_fi,4.94374069709e-06,1.19040415425e-06,.0000328154084985,***
SE3,2016,2016,.75,coef,netexch_no1,2.67315566478e-06,7.12901738514e-07,.0001770581150835,***
SE3,2016,2016,.75,coef,netexch_se2,2.55656142570e-06,4.54930529422e-07,1.91317728326e-08,***
SE3,2016,2016,.75,coef,netexch_se4,2.16598724876e-06,7.14162707634e-07,.0024221228510306,***
SE3,2016,2016,.75,coef,ar_L1,1.115905990682248,.0084755925178863,0,***
SE3,2016,2016,.75,coef,ar_L2,-.1747886119141237,.0084886865119436,0,***
SE3,2016,2016,.9,fit,N,8756,,,
SE3,2016,2016,.9,lbq,L24,609.5368648602251,,2.3942831140e-113,***
SE3,2016,2016,.9,coef,_cons,.0916977858539565,.0255175239325371,.0003262379806168,***
SE3,2016,2016,.9,coef,wind_log,-.0021218311099637,.000852616904197,.0128243492216196,**
SE3,2016,2016,.9,coef,hydro_log_ds,.002850373652416,.0150776407113052,.8500564527802956,
SE3,2016,2016,.9,coef,consump_log_ds,.073674438415269,.0139496878772381,1.28172515490e-07,***
SE3,2016,2016,.9,coef,oil_log,-.0241810534898144,.0079941732874844,.0024876897363033,***
SE3,2016,2016,.9,coef,gas_log,.0223609775018115,.0066524853880907,.0007757742929544,***
SE3,2016,2016,.9,coef,netexch_dk1,-4.72298330056e-06,2.53300632408e-06,.062240831784905,*
SE3,2016,2016,.9,coef,netexch_fi,5.65802842794e-06,1.81294741832e-06,.0018029896839231,***
SE3,2016,2016,.9,coef,netexch_no1,4.73260654953e-06,1.19806883643e-06,.0000780872693371,***
SE3,2016,2016,.9,coef,netexch_se2,7.14775689938e-06,7.18912089310e-07,0,***
SE3,2016,2016,.9,coef,netexch_se4,6.20769032591e-06,1.06982817976e-06,6.53289089492e-09,***
SE3,2016,2016,.9,coef,ar_L1,1.085006835855802,.0154253959614528,0,***
SE3,2016,2016,.9,coef,ar_L2,-.1639196672315232,.0152863481118829,0,***
SE3,2016,2016,.95,fit,N,8756,,,
SE3,2016,2016,.95,lbq,L24,1548.735456665407,,0,***
SE3,2016,2016,.95,coef,_cons,.1341717430398301,.0474339888257175,.0046752208655785,***
SE3,2016,2016,.95,coef,wind_log,-.0012306073801003,.001695245758174,.4678897753165729,
SE3,2016,2016,.95,coef,hydro_log_ds,-.0540370377002071,.0251922966646442,.0319542391656253,**
SE3,2016,2016,.95,coef,consump_log_ds,.106678972563709,.023345463800348,4.88701787149e-06,***
SE3,2016,2016,.95,coef,oil_log,-.0347385679710954,.0156598842589444,.0265333106966723,**
SE3,2016,2016,.95,coef,gas_log,.0307662101946402,.0121105155358903,.0110708588877682,**
SE3,2016,2016,.95,coef,netexch_dk1,-.0000127942029538,3.53566610117e-06,.0002961875807967,***
SE3,2016,2016,.95,coef,netexch_fi,6.24633325368e-06,2.73451495512e-06,.0223564673804462,**
SE3,2016,2016,.95,coef,netexch_no1,.0000119127828336,1.93010307260e-06,6.73902489368e-10,***
SE3,2016,2016,.95,coef,netexch_se2,.0000128259802875,1.33355590313e-06,0,***
SE3,2016,2016,.95,coef,netexch_se4,.0000153099016884,1.81961697346e-06,0,***
SE3,2016,2016,.95,coef,ar_L1,1.115120340683903,.0269808676264191,0,***
SE3,2016,2016,.95,coef,ar_L2,-.2145883466561565,.0267592960615435,1.11022302463e-15,***
SE3,2016,2016,.99,fit,N,8756,,,
SE3,2016,2016,.99,lbq,L24,39071.87488718854,,0,***
SE3,2016,2016,.99,coef,_cons,.470192310316918,.1717659125831125,.0061926614207231,***
SE3,2016,2016,.99,coef,wind_log,.0100338746135594,.0048452102834839,.0383695188860036,**
SE3,2016,2016,.99,coef,hydro_log_ds,-.3218965170482573,.0880322559993576,.0002556079818472,***
SE3,2016,2016,.99,coef,consump_log_ds,.2456290160458974,.0985428346048783,.0126807461197205,**
SE3,2016,2016,.99,coef,oil_log,-.188194931108524,.0432111282492071,.000013291984212,***
SE3,2016,2016,.99,coef,gas_log,.1409229823630289,.0424093855965203,.0008908055729668,***
SE3,2016,2016,.99,coef,netexch_dk1,-.0000312650050696,.0000160917879796,.0520262127678848,*
SE3,2016,2016,.99,coef,netexch_fi,3.82663338187e-06,.0000131669353252,.7713385558360975,
SE3,2016,2016,.99,coef,netexch_no1,.0000305176832866,8.11658600069e-06,.0001699702752684,***
SE3,2016,2016,.99,coef,netexch_se2,.0000309762248634,5.26802368255e-06,4.10150935437e-09,***
SE3,2016,2016,.99,coef,netexch_se4,.0000444055393792,8.35170987292e-06,1.05526909433e-07,***
SE3,2016,2016,.99,coef,ar_L1,1.184432921667635,.1116251906797335,0,***
SE3,2016,2016,.99,coef,ar_L2,-.3675521293760147,.1087526660718245,.0007256318388571,***
SE3,2017,2017,.1,fit,N,8732,,,
SE3,2017,2017,.1,lbq,L24,950.4390372759534,,2.9485969921e-185,***
SE3,2017,2017,.1,coef,_cons,.0782350217141725,.0476565361694503,.1006639989948568,
SE3,2017,2017,.1,coef,wind_log,-.010338169074655,.0012499149558904,2.22044604925e-16,***
SE3,2017,2017,.1,coef,hydro_log_ds,-.0089955985594251,.0133161929285223,.4993338158150711,
SE3,2017,2017,.1,coef,consump_log_ds,.112731207126063,.0124671219507577,0,***
SE3,2017,2017,.1,coef,oil_log,-.0773757487210829,.0176954335711754,.0000122753428322,***
SE3,2017,2017,.1,coef,gas_log,.085679771121256,.010780947748466,1.99840144433e-15,***
SE3,2017,2017,.1,coef,netexch_dk1,3.92498548442e-06,1.94933916004e-06,.0440625355754765,**
SE3,2017,2017,.1,coef,netexch_fi,.0000241114357952,2.04776519961e-06,0,***
SE3,2017,2017,.1,coef,netexch_no1,-3.30711050062e-06,1.15322232731e-06,.0041345057689279,***
SE3,2017,2017,.1,coef,netexch_se2,-3.30759147893e-06,8.29511817007e-07,.0000668026832096,***
SE3,2017,2017,.1,coef,netexch_se4,-8.14533677039e-06,1.18604339471e-06,6.52655707256e-12,***
SE3,2017,2017,.1,coef,ar_L1,1.095044740843716,.0155761350951436,0,***
SE3,2017,2017,.1,coef,ar_L2,-.2362197049905873,.014963530952854,0,***
SE3,2017,2017,.25,fit,N,8732,,,
SE3,2017,2017,.25,lbq,L24,495.9060955520252,,1.18002345063e-89,***
SE3,2017,2017,.25,coef,_cons,.0622660286055174,.0316969296911929,.0494816028262848,**
SE3,2017,2017,.25,coef,wind_log,-.0071842948202924,.0007828519588944,0,***
SE3,2017,2017,.25,coef,hydro_log_ds,.0153970819794885,.009565875647475,.1074886671373345,
SE3,2017,2017,.25,coef,consump_log_ds,.0684791823370896,.0090561819392826,3.97459842816e-14,***
SE3,2017,2017,.25,coef,oil_log,-.0325977386488234,.0113711837524773,.0041477988491005,***
SE3,2017,2017,.25,coef,gas_log,.0319944420157311,.0068597308221863,3.09976894064e-06,***
SE3,2017,2017,.25,coef,netexch_dk1,-5.41533779312e-07,1.29686063805e-06,.6762594581431389,
SE3,2017,2017,.25,coef,netexch_fi,.0000129199258114,1.18870789381e-06,0,***
SE3,2017,2017,.25,coef,netexch_no1,-3.02931750506e-06,6.95299078664e-07,.00001319444077,***
SE3,2017,2017,.25,coef,netexch_se2,-1.30154030830e-06,5.01077919237e-07,.009391035180613,***
SE3,2017,2017,.25,coef,netexch_se4,-3.98664618772e-06,6.90477202480e-07,7.75241448814e-09,***
SE3,2017,2017,.25,coef,ar_L1,1.137179860144257,.0074726825809895,0,***
SE3,2017,2017,.25,coef,ar_L2,-.2445372991582251,.0072181737010548,0,***
SE3,2017,2017,.5,fit,N,8732,,,
SE3,2017,2017,.5,lbq,L24,498.5055746875688,,3.40637934883e-90,***
SE3,2017,2017,.5,coef,_cons,.1097119742023136,.02509514692919,.000012320364372,***
SE3,2017,2017,.5,coef,wind_log,-.0044353509194671,.0006617707540864,2.05238048778e-11,***
SE3,2017,2017,.5,coef,hydro_log_ds,.0284080543028338,.0082475859068686,.0005723104880648,***
SE3,2017,2017,.5,coef,consump_log_ds,.0674956399113252,.0069046203831392,0,***
SE3,2017,2017,.5,coef,oil_log,-.0283293321490043,.009113837890495,.0018811178049285,***
SE3,2017,2017,.5,coef,gas_log,.0123926576476854,.0056815084822065,.0291666574593372,**
SE3,2017,2017,.5,coef,netexch_dk1,-3.82357115490e-06,1.06763560932e-06,.0003418302759615,***
SE3,2017,2017,.5,coef,netexch_fi,7.97690124609e-06,9.62897187537e-07,2.22044604925e-16,***
SE3,2017,2017,.5,coef,netexch_no1,-1.06399271915e-06,5.62904973459e-07,.0587336539228629,*
SE3,2017,2017,.5,coef,netexch_se2,2.95953205273e-07,4.15144031606e-07,.4759120737183447,
SE3,2017,2017,.5,coef,netexch_se4,2.97784292256e-08,5.76727442984e-07,.9588207633747938,
SE3,2017,2017,.5,coef,ar_L1,1.129269019361513,.0060026165503364,0,***
SE3,2017,2017,.5,coef,ar_L2,-.2101160860488053,.0055530246238458,0,***
SE3,2017,2017,.75,fit,N,8732,,,
SE3,2017,2017,.75,lbq,L24,532.2597639350581,,3.26884740752e-97,***
SE3,2017,2017,.75,coef,_cons,.109691947634143,.0318533594828556,.0005739097220583,***
SE3,2017,2017,.75,coef,wind_log,-.004042015079432,.0007491048543776,6.82213856518e-08,***
SE3,2017,2017,.75,coef,hydro_log_ds,.0212020780114665,.0087669675389501,.0155887160912334,**
SE3,2017,2017,.75,coef,consump_log_ds,.0628184657716817,.0082593793928818,2.84217094304e-14,***
SE3,2017,2017,.75,coef,oil_log,-.0163891084012318,.0118341080277769,.1660816982542679,
SE3,2017,2017,.75,coef,gas_log,.0016421011833684,.0076504408973657,.8300469300457423,
SE3,2017,2017,.75,coef,netexch_dk1,-9.64236762960e-06,1.34967380579e-06,9.05053809674e-13,***
SE3,2017,2017,.75,coef,netexch_fi,2.51120221223e-06,1.12999439154e-06,.0262621012790709,**
SE3,2017,2017,.75,coef,netexch_no1,1.91884191280e-06,7.17524427603e-07,.0074895906568329,***
SE3,2017,2017,.75,coef,netexch_se2,2.66256508173e-06,5.31394645199e-07,5.42823153538e-07,***
SE3,2017,2017,.75,coef,netexch_se4,3.19328394094e-06,7.17530034433e-07,8.57170191448e-06,***
SE3,2017,2017,.75,coef,ar_L1,1.114805380131185,.0093316224109621,0,***
SE3,2017,2017,.75,coef,ar_L2,-.1925415334703936,.0091269476562122,0,***
SE3,2017,2017,.9,fit,N,8732,,,
SE3,2017,2017,.9,lbq,L24,566.3535608571599,,2.5498095759e-104,***
SE3,2017,2017,.9,coef,_cons,.0363048138728117,.0585399879077828,.5351450879331874,
SE3,2017,2017,.9,coef,wind_log,-.0034375110832702,.0015397578229419,.0255818604715727,**
SE3,2017,2017,.9,coef,hydro_log_ds,.0300003473856972,.0181537144729057,.0984176959130711,*
SE3,2017,2017,.9,coef,consump_log_ds,.0838137475202364,.0158214622664389,1.17417140233e-07,***
SE3,2017,2017,.9,coef,oil_log,.0133973723976036,.0224895675036068,.5513656449310835,
SE3,2017,2017,.9,coef,gas_log,-.0058983193403089,.0149097218563894,.6923984855418852,
SE3,2017,2017,.9,coef,netexch_dk1,-.0000152119661302,2.31650975296e-06,5.14215336977e-11,***
SE3,2017,2017,.9,coef,netexch_fi,-2.61265517782e-06,2.11489441951e-06,.2166966919882858,
SE3,2017,2017,.9,coef,netexch_no1,5.92944831086e-06,1.06026295145e-06,2.23911038599e-08,***
SE3,2017,2017,.9,coef,netexch_se2,4.59926805434e-06,9.59061384750e-07,1.62194306030e-06,***
SE3,2017,2017,.9,coef,netexch_se4,6.89251092301e-06,1.32084108111e-06,1.80597979460e-07,***
SE3,2017,2017,.9,coef,ar_L1,1.101692892018138,.0179533578729055,0,***
SE3,2017,2017,.9,coef,ar_L2,-.1885115154615657,.0174583529310209,0,***
SE3,2017,2017,.95,fit,N,8732,,,
SE3,2017,2017,.95,lbq,L24,821.5943372159516,,5.6697071110e-158,***
SE3,2017,2017,.95,coef,_cons,-.0899859296781813,.1025006115344882,.3799945856088822,
SE3,2017,2017,.95,coef,wind_log,-.0041296024418233,.0024520596595514,.092155349393751,*
SE3,2017,2017,.95,coef,hydro_log_ds,.0316861698824997,.0300618348233224,.291867748910716,
SE3,2017,2017,.95,coef,consump_log_ds,.1427976286853564,.027308476363886,1.70375174635e-07,***
SE3,2017,2017,.95,coef,oil_log,.0651838481049299,.0382523825426568,.0883723538908927,*
SE3,2017,2017,.95,coef,gas_log,-.0215775539121398,.0259831695575747,.406288087555444,
SE3,2017,2017,.95,coef,netexch_dk1,-.0000193470269777,4.56333292344e-06,.0000223848336616,***
SE3,2017,2017,.95,coef,netexch_fi,-9.36443160122e-06,3.85750384768e-06,.0151995820903108,**
SE3,2017,2017,.95,coef,netexch_no1,8.15655647871e-06,2.56909295007e-06,.0014989955239109,***
