timestamp,spread_se2_se1,spread_se2_se3,price_se1_raw,price_se2_raw,price_se3_raw,wind_log,consump_log_ds,post_fbmc,wind_post_fbmc
2024-12-15 22:00:00,-0.10000000000000053,0.33000000000000007,5.53,5.43,5.1,8.17948018535889,0.012151893995316243,1,8.17948018535889
2024-12-15 23:00:00,0.009999999999999787,0.009999999999999787,2.29,2.3,2.29,8.164510268747042,0.004054666788326777,1,8.164510268747042
2024-12-16 00:00:00,0.1,0.020000000000000004,0.0,0.1,0.08,8.259975659768276,-0.013116937410893037,1,8.259975659768276
2024-12-16 01:00:00,0.13,-0.039999999999999994,-0.11,0.02,0.06,8.340217320947035,-0.010880015566816503,1,8.340217320947035
2024-12-16 02:00:00,-0.019999999999999997,-0.06,-0.04,-0.06,0.0,8.35983738064003,-0.029414864090750115,1,8.35983738064003
2024-12-16 03:00:00,-0.02,-0.06,-0.02,-0.04,0.02,8.396831834745054,-0.0172104552397494,1,8.396831834745054
2024-12-16 04:00:00,0.04000000000000001,-0.03,-0.07,-0.03,0.0,8.418256443556213,-0.02060371494945823,1,8.418256443556213
2024-12-16 05:00:00,0.0,0.0,2.18,2.18,2.18,8.472195825485501,-0.01894267748497036,1,8.472195825485501
2024-12-16 06:00:00,0.0,0.0,7.17,7.17,7.17,8.554874258383926,0.0006704638882837344,1,8.554874258383926
2024-12-16 07:00:00,-0.11000000000000032,-21.93,7.87,7.76,29.69,8.563695025067657,0.0141216278130738,1,8.563695025067657
2024-12-16 08:00:00,-2.139999999999999,-32.08,9.37,7.23,39.31,8.548691858475609,0.007352772699153576,1,8.548691858475609
2024-12-16 09:00:00,-1.4000000000000004,-28.240000000000002,9.48,8.08,36.32,8.559294367434873,-0.0055333071911221055,1,8.559294367434873
2024-12-16 10:00:00,-0.7800000000000011,-24.39,9.82,9.04,33.43,8.561018670956267,-0.00580325901355927,1,8.561018670956267
2024-12-16 11:00:00,-2.83,-29.069999999999997,10.88,8.05,37.12,8.557759153162898,-0.01357886132556807,1,8.557759153162898
2024-12-16 12:00:00,-2.879999999999999,-27.580000000000002,11.43,8.55,36.13,8.558718938244736,0.0021362451189563814,1,8.558718938244736
2024-12-16 13:00:00,-2.8499999999999996,-26.45,11.37,8.52,34.97,8.559486103606488,-0.02076125819078012,1,8.559486103606488
2024-12-16 14:00:00,-3.2700000000000005,-28.540000000000003,11.08,7.81,36.35,8.504715669905124,0.006549590656620197,1,8.504715669905124
2024-12-16 15:00:00,-4.57,-38.54,10.33,5.76,44.3,8.528330935826693,0.012429714231069866,1,8.528330935826693
2024-12-16 16:00:00,-4.25,-36.53,10.66,6.41,42.94,8.551014739891748,-0.0038432549001958805,1,8.551014739891748
2024-12-16 17:00:00,-3.4299999999999997,-32.57,11.08,7.65,40.22,8.570544366913232,0.00033717413301204147,1,8.570544366913232
2024-12-16 18:00:00,-3.3999999999999995,-33.68,10.37,6.97,40.65,8.57602797713713,-0.002733396079533712,1,8.57602797713713
2024-12-16 19:00:00,-3.290000000000001,-28.82,10.46,7.17,35.99,8.57772369115627,-0.0027240400874379844,1,8.57772369115627
2024-12-16 20:00:00,-1.7200000000000006,-21.99,9.63,7.91,29.9,8.57922858233569,-0.01698316143484302,1,8.57922858233569
2024-12-16 21:00:00,-0.3699999999999992,-13.959999999999999,9.34,8.97,22.93,8.58316818033977,-0.015766812816496945,1,8.58316818033977
2024-12-16 22:00:00,-0.019999999999999574,-0.040000000000000924,8.44,8.42,8.46,8.584103896698863,-0.015679948237667496,1,8.584103896698863
2024-12-16 23:00:00,-0.20999999999999996,0.79,5.24,5.03,4.24,8.58653266949485,-0.012686555507800179,1,8.58653266949485
2024-12-17 00:00:00,-0.35999999999999943,1.0300000000000002,4.55,4.19,3.16,8.609042845046117,-0.0074292199621242005,1,8.609042845046117
2024-12-17 01:00:00,-0.41999999999999993,1.18,3.15,2.73,1.55,8.560635749259074,0.005338758461431503,1,8.560635749259074
2024-12-17 02:00:00,-0.41000000000000014,1.13,3.19,2.78,1.65,8.56483984488359,-0.002248161446324559,1,8.56483984488359
2024-12-17 03:00:00,-0.43000000000000016,1.21,3.83,3.4,2.19,8.566554620953962,0.0022379394194009805,1,8.566554620953962
2024-12-17 04:00:00,-0.4299999999999997,1.1099999999999999,4.68,4.25,3.14,8.59877317840866,0.0011346965343088655,1,8.59877317840866
2024-12-17 05:00:00,0.08999999999999986,-0.17999999999999972,9.39,9.48,9.66,8.549853973655786,-0.00018636153061901695,1,8.549853973655786
2024-12-17 06:00:00,-4.109999999999999,-34.0,11.85,7.74,41.74,8.496582237512113,0.009500362726629241,1,8.496582237512113
2024-12-17 07:00:00,-6.37,-47.84,13.34,6.97,54.81,8.447843113281444,0.030294163248419714,1,8.447843113281444
2024-12-17 08:00:00,-7.5600000000000005,-57.730000000000004,15.14,7.58,65.31,8.404472321352118,0.02772242511503009,1,8.404472321352118
2024-12-17 09:00:00,-8.14,-60.86,16.87,8.73,69.59,8.421342865759403,0.025883834534793593,1,8.421342865759403
2024-12-17 10:00:00,-7.1899999999999995,-55.379999999999995,16.41,9.22,64.6,8.449770515098804,0.02955684298979211,1,8.449770515098804
2024-12-17 11:00:00,-6.450000000000001,-51.84,16.82,10.37,62.21,8.46695197497949,0.02017010358642235,1,8.46695197497949
2024-12-17 12:00:00,-10.309999999999999,-72.12,15.52,5.21,77.33,8.474911799159631,0.018196203927260513,1,8.474911799159631
2024-12-17 13:00:00,-10.010000000000002,-72.69,16.96,6.95,79.64,8.46863300080086,0.02193206285309124,1,8.46863300080086
2024-12-17 14:00:00,-14.75,-100.82000000000001,22.8,8.05,108.87,8.43750042250699,0.02209935508520733,1,8.43750042250699
2024-12-17 15:00:00,-14.67,-111.99000000000001,24.52,9.85,121.84,8.404696160189092,0.04368391623838086,1,8.404696160189092
2024-12-17 16:00:00,-12.600000000000001,-107.07,22.44,9.84,116.91,8.349957272040324,0.03810482157213446,1,8.349957272040324
2024-12-17 17:00:00,-7.609999999999999,-120.36999999999999,22.47,14.86,135.23,8.291295851905407,0.03615169657213446,1,8.291295851905407
2024-12-17 18:00:00,-12.43,-111.15,22.36,9.93,121.08,8.227108234348146,0.03390497670148385,1,8.227108234348146
2024-12-17 19:00:00,-10.930000000000001,-101.58,21.85,10.92,112.5,8.152774052744075,0.04460255401721547,1,8.152774052744075
2024-12-17 20:00:00,-2.91,-70.81,24.73,21.82,92.63,8.061802274538348,0.04782856523742662,1,8.061802274538348
2024-12-17 21:00:00,-4.139999999999997,-60.69,23.15,19.01,79.7,7.962415680121064,0.05464318457286943,1,7.962415680121064
2024-12-17 22:00:00,-3.620000000000001,-37.39,25.98,22.36,59.75,7.8628820346414905,0.04860130994132561,1,7.8628820346414905
2024-12-17 23:00:00,-2.8500000000000014,-24.840000000000003,29.14,26.29,51.13,7.7406644019172415,0.05398208801624094,1,7.7406644019172415
2024-12-18 00:00:00,-3.59,-32.82000000000001,20.72,17.13,49.95,7.60887062919126,0.04549026340088247,1,7.60887062919126
2024-12-18 01:00:00,-1.4499999999999993,-6.68,28.2,26.75,33.43,7.364547014255642,0.05479369557238023,1,7.364547014255642
2024-12-18 02:00:00,-1.120000000000001,0.46999999999999886,29.34,28.22,27.75,7.004881989712859,0.06509445002658598,1,7.004881989712859
2024-12-18 03:00:00,-0.9800000000000004,0.41999999999999815,26.43,25.45,25.03,6.5998704992128365,0.05837950890658927,1,6.5998704992128365
2024-12-18 04:00:00,-0.9199999999999982,0.40000000000000213,25.06,24.14,23.74,6.368187186350492,0.05595450214007247,1,6.368187186350492
2024-12-18 05:00:00,-1.0299999999999976,0.4499999999999993,26.65,25.62,25.17,6.523562306149512,0.053712703505901516,1,6.523562306149512
2024-12-18 06:00:00,-0.8299999999999983,-2.25,29.33,28.5,30.75,6.9975959829819265,0.06799443940689542,1,6.9975959829819265
2024-12-18 07:00:00,-3.5299999999999976,-28.709999999999997,23.9,20.37,49.08,7.471932078245122,0.08097060357455987,1,7.471932078245122
2024-12-18 08:00:00,-6.129999999999999,-61.93999999999999,14.51,8.38,70.32,7.774015077250727,0.0736059532100084,1,7.774015077250727
2024-12-18 09:00:00,-5.640000000000001,-53.5,14.13,8.49,61.99,7.989221408815276,0.06456385562715905,1,7.989221408815276
2024-12-18 10:00:00,-5.02,-47.129999999999995,13.79,8.77,55.9,8.129469764784231,0.06467037332994696,1,8.129469764784231
2024-12-18 11:00:00,-4.430000000000001,-44.06,12.22,7.79,51.85,8.220672170297252,0.05588828190698525,1,8.220672170297252
2024-12-18 12:00:00,-2.790000000000001,-32.13,13.16,10.37,42.5,8.297045149081827,0.040916502489366735,1,8.297045149081827
2024-12-18 13:00:00,-2.7699999999999996,-31.68,12.7,9.93,41.61,8.379539026117442,0.04049152454196836,1,8.379539026117442
2024-12-18 14:00:00,-2.780000000000001,-30.15,12.31,9.53,39.68,8.434680769841773,0.03946763460177216,1,8.434680769841773
2024-12-18 15:00:00,-3.549999999999999,-33.97,11.86,8.31,42.28,8.47345026846832,0.042566978200809125,1,8.47345026846832
2024-12-18 16:00:00,-1.4900000000000002,-22.4,12.55,11.06,33.46,8.494333897270154,0.014952746111497994,1,8.494333897270154
