timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2017-05-14 23:00:00,0.10068277780211066,6.342121418721152,-0.32412642962041716,0.030889973500324963,3.866816412590067,2.735923414723949,-44.1,150.0,0.0,-3336.5
2017-05-15 00:00:00,0.13481553037902527,6.376726947898627,0.033603366736803864,0.0035475046949677846,3.8667703767951354,2.7360557204827503,-143.4,150.0,32.4,-2478.1
2017-05-15 01:00:00,0.10603084437822297,6.342121418721152,0.033603366736803864,-0.0002124520431614485,3.8667243388808124,2.7361880087390533,-518.8,150.0,9.8,-1859.9
2017-05-15 02:00:00,0.10928797305405213,6.246106765481563,0.033603366736803864,-0.004231897962090336,3.866678298846902,2.7363202794974884,-298.7,150.0,0.0,-1996.2
2017-05-15 03:00:00,0.10702837253511,6.1463292576688975,0.033603366736803864,0.0008543995825833761,3.8666322566932094,2.7364525327626836,-577.6,150.0,0.0,-1669.4
2017-05-15 04:00:00,0.10795009852789761,6.0330862217988015,0.033603366736803864,-0.0031115730962607557,3.866586212419539,2.7365847685392657,-579.4,150.0,0.0,-1681.3
2017-05-15 05:00:00,0.12368000803549739,6.018593214496234,0.033603366736803864,-0.009291074928901466,3.8665401660256964,2.736716986831859,-133.3,150.0,0.0,-2775.8
2017-05-15 06:00:00,0.11118136817506041,5.968707559985366,0.033603366736803864,0.0037849323973278004,3.8664941175114853,2.7368491876450864,600.0,150.0,0.0,-4354.2
2017-05-15 07:00:00,0.040523678331608526,5.817111159963204,0.033603366736803864,0.012273692867213803,3.866448066876711,2.736981370983569,600.0,150.0,703.2,-5154.1
2017-05-15 08:00:00,0.02143428657408908,5.723585101952381,0.033603366736803864,0.07993513685981046,3.8664020141211783,2.737113536851926,600.0,150.0,743.9,-5367.5
2017-05-15 09:00:00,0.01517882127840764,5.814130531825066,0.033603366736803864,0.08117223356479197,3.866355959244691,2.7372456852547744,600.0,150.0,721.4,-5344.1
2017-05-15 10:00:00,0.05178759778877273,5.659482215759621,0.033603366736803864,0.066152299637106,3.866309902247055,2.73737781619673,600.0,150.0,728.8,-5245.3
2017-05-15 11:00:00,0.03783945802622313,5.365976015021851,0.033603366736803864,0.060941555583784,3.866263843128074,2.7375099296824064,600.0,150.0,726.7,-5197.7
2017-05-15 12:00:00,0.06348502408897261,5.159055299214529,0.033603366736803864,0.03874382499811091,3.866217781887553,2.737642025716415,600.0,150.0,724.7,-4986.8
