zone,year,variable,adf_stat,adf_pval,adf_lags,adf_stationary,dfgls_stat,dfgls_pval,dfgls_stationary
SE2,2016,hydro_log_ds,-5.2943,0.0,24,True,-2.9492,0.0033,True
SE2,2016,consump_log_ds,-8.5214,0.0,31,True,-4.1406,0.0,True
SE2,2016,oil_log,-1.0469,0.7358,0,False,-0.1412,0.6429,False
SE2,2016,gas_log,-0.0248,0.9564,0,False,-0.2911,0.5852,False
SE2,2016,netexch_no3,-9.345,0.0,33,True,-6.1178,0.0,True
SE2,2016,netexch_no4,-9.2451,0.0,36,True,-7.0447,0.0,True
SE2,2016,netexch_se1,-10.4014,0.0,34,True,-5.7185,0.0,True
SE2,2016,netexch_se3,-8.9512,0.0,37,True,-6.9761,0.0,True
SE2,2017,price_ds,-10.6215,0.0,26,True,-5.8082,0.0,True
SE2,2017,wind_log,-10.2751,0.0,32,True,-6.3915,0.0,True
SE2,2017,hydro_log_ds,-5.2484,0.0,0,True,-4.0331,0.0001,True
SE2,2017,consump_log_ds,-8.2961,0.0,25,True,-1.9723,0.0483,True
SE2,2017,oil_log,-1.0234,0.7446,4,False,-1.062,0.2683,False
SE2,2017,gas_log,-0.728,0.8394,0,False,-0.7897,0.3842,False
SE2,2017,netexch_no3,-8.045,0.0,35,True,-2.4759,0.0134,True
SE2,2017,netexch_no4,-7.5679,0.0,30,True,-1.9629,0.0494,True
SE2,2017,netexch_se1,-9.0409,0.0,33,True,-4.2538,0.0,True
SE2,2017,netexch_se3,-10.2526,0.0,33,True,-2.4727,0.0136,True
SE2,2018,price_ds,-9.811,0.0,29,True,-4.7405,0.0,True
SE2,2018,wind_log,-9.3482,0.0,35,True,-7.9644,0.0,True
SE2,2018,hydro_log_ds,-5.8593,0.0,24,True,-4.474,0.0,True
SE2,2018,consump_log_ds,-7.1502,0.0,26,True,-6.9927,0.0,True
SE2,2018,oil_log,0.4699,0.9839,30,False,-0.1249,0.6489,False
SE2,2018,gas_log,-1.2022,0.6726,0,False,-0.4595,0.5169,False
SE2,2018,netexch_no3,-9.1105,0.0,33,True,-3.0802,0.0022,True
SE2,2018,netexch_no4,-10.1448,0.0,30,True,-2.7803,0.0056,True
SE2,2018,netexch_se1,-6.9311,0.0,33,True,-5.5138,0.0,True
SE2,2018,netexch_se3,-7.5138,0.0,33,True,-3.0932,0.0021,True
SE2,2019,price_ds,-10.4455,0.0,31,True,-10.3858,0.0,True
SE2,2019,wind_log,-8.0687,0.0,35,True,-4.4683,0.0,True
SE2,2019,hydro_log_ds,-6.4675,0.0,0,True,-4.5707,0.0,True
SE2,2019,consump_log_ds,-6.9762,0.0,25,True,-4.1606,0.0,True
SE2,2019,oil_log,-3.2711,0.0162,8,True,0.0228,0.7014,False
SE2,2019,gas_log,-2.0689,0.2572,0,False,0.0127,0.698,False
SE2,2019,netexch_no3,-9.7447,0.0,36,True,-3.0069,0.0028,True
SE2,2019,netexch_no4,-10.2477,0.0,36,True,-2.2618,0.0238,True
SE2,2019,netexch_se1,-9.0757,0.0,33,True,-3.2706,0.0012,True
SE2,2019,netexch_se3,-10.6657,0.0,36,True,-2.6553,0.0081,True
SE2,2020,price_ds,-8.0334,0.0,27,True,-6.3045,0.0,True
SE2,2020,wind_log,-8.2765,0.0,37,True,-4.8571,0.0,True
SE2,2020,hydro_log_ds,-5.7812,0.0,0,True,-5.5446,0.0,True
SE2,2020,consump_log_ds,-8.6483,0.0,30,True,-8.6308,0.0,True
SE2,2020,oil_log,-1.9773,0.2966,36,False,-0.8456,0.359,False
SE2,2020,gas_log,0.5474,0.9862,1,False,-0.1175,0.6517,False
SE2,2020,netexch_no3,-7.4567,0.0,35,True,-6.6497,0.0,True
SE2,2020,netexch_no4,-9.2666,0.0,37,True,-6.3639,0.0,True
SE2,2020,netexch_se1,-10.0521,0.0,31,True,-7.8982,0.0,True
SE2,2020,netexch_se3,-12.1197,0.0,31,True,-5.0867,0.0,True
SE2,2021,price_ds,-7.1594,0.0,24,True,-7.0013,0.0,True
SE2,2021,wind_log,-8.9402,0.0,32,True,-4.8274,0.0,True
SE2,2021,hydro_log_ds,-4.551,0.0002,0,True,-3.0728,0.0022,True
SE2,2021,consump_log_ds,-7.5593,0.0,35,True,-3.6287,0.0003,True
SE2,2021,oil_log,-2.4191,0.1364,28,False,0.422,0.8189,False
SE2,2021,gas_log,-0.4277,0.9054,0,False,0.8456,0.9028,False
SE2,2021,netexch_no3,-8.1992,0.0,35,True,-4.5353,0.0,True
SE2,2021,netexch_no4,-9.3473,0.0,27,True,-7.091,0.0,True
SE2,2021,netexch_se1,-7.4504,0.0,32,True,-6.8175,0.0,True
SE2,2021,netexch_se3,-8.571,0.0,30,True,-6.7045,0.0,True
SE2,2022,price_ds,-9.1277,0.0,33,True,-5.4328,0.0,True
SE2,2022,wind_log,-10.0306,0.0,27,True,-9.8594,0.0,True
SE2,2022,hydro_log_ds,-5.7215,0.0,0,True,-4.357,0.0,True
SE2,2022,consump_log_ds,-8.1901,0.0,24,True,-7.3669,0.0,True
SE2,2022,oil_log,-1.9691,0.3003,29,False,-0.9893,0.2973,False
SE2,2022,gas_log,-1.5521,0.5076,0,False,-1.219,0.2112,False
SE2,2022,netexch_no3,-10.3982,0.0,24,True,-7.9125,0.0,True
SE2,2022,netexch_no4,-10.8474,0.0,26,True,-9.2468,0.0,True
SE2,2022,netexch_se1,-7.3767,0.0,32,True,-4.97,0.0,True
SE2,2022,netexch_se3,-10.0671,0.0,26,True,-9.312,0.0,True
SE2,2023,price_ds,-8.6026,0.0,26,True,-3.4918,0.0005,True
SE2,2023,wind_log,-9.5888,0.0,26,True,-5.4665,0.0,True
SE2,2023,hydro_log_ds,-4.9562,0.0,0,True,-3.747,0.0002,True
SE2,2023,consump_log_ds,-7.2691,0.0,29,True,-6.9942,0.0,True
SE2,2023,oil_log,-2.0369,0.2706,8,False,-1.668,0.0935,False
SE2,2023,gas_log,-2.4979,0.116,24,False,-0.1428,0.6423,False
SE2,2023,netexch_no3,-8.2874,0.0,30,True,-3.9611,0.0001,True
SE2,2023,netexch_no4,-9.1232,0.0,25,True,-2.3168,0.0206,True
SE2,2023,netexch_se1,-8.1821,0.0,37,True,-6.9687,0.0,True
SE2,2023,netexch_se3,-8.408,0.0,30,True,-4.3052,0.0,True
SE2,2024,price_ds,-9.9137,0.0,27,True,-9.3193,0.0,True
SE2,2024,wind_log,-10.122,0.0,28,True,-7.6143,0.0,True
SE2,2024,hydro_log_ds,-5.4753,0.0,0,True,-4.4641,0.0,True
SE2,2024,consump_log_ds,-8.298,0.0,26,True,-5.7942,0.0,True
SE2,2024,oil_log,-1.8261,0.3676,17,False,-1.5233,0.1242,False
SE2,2024,gas_log,-0.4317,0.9047,0,False,0.2193,0.7639,False
SE2,2024,netexch_no3,-9.5584,0.0,29,True,-8.667,0.0,True
SE2,2024,netexch_no4,-8.6658,0.0,28,True,-8.6119,0.0,True
SE2,2024,netexch_se1,-8.0483,0.0,32,True,-5.2391,0.0,True
SE2,2024,netexch_se3,-7.4445,0.0,31,True,-2.3769,0.0176,True
SE2,2025,price_ds,-10.3299,0.0,27,True,-10.3085,0.0,True
SE2,2025,wind_log,-9.0599,0.0,32,True,-4.2995,0.0,True
SE2,2025,hydro_log_ds,-5.6335,0.0,0,True,-4.4781,0.0,True
SE2,2025,consump_log_ds,-7.4563,0.0,26,True,-2.6864,0.0074,True
SE2,2025,oil_log,-2.0822,0.2517,37,False,-0.838,0.3624,False
SE2,2025,gas_log,-1.5019,0.5325,0,False,0.5924,0.8575,False
SE2,2025,netexch_no3,-10.3958,0.0,34,True,-6.7833,0.0,True
SE2,2025,netexch_no4,-10.1468,0.0,36,True,-7.3996,0.0,True
SE2,2025,netexch_se1,-8.771,0.0,33,True,-8.3707,0.0,True
SE2,2025,netexch_se3,-8.311,0.0,32,True,-3.156,0.0017,True
SE3,2015,price_ds,-8.7422,0.0,32,True,-6.3977,0.0,True
SE3,2015,wind_log,-9.3639,0.0,27,True,-5.2965,0.0,True
SE3,2015,hydro_log_ds,-5.97,0.0,0,True,-3.3745,0.0008,True
SE3,2015,consump_log_ds,-8.8992,0.0,28,True,-3.3832,0.0008,True
SE3,2015,oil_log,-1.0008,0.753,3,False,-0.2068,0.6181,False
SE3,2015,gas_log,0.8876,0.9929,0,False,1.3868,0.9612,False
SE3,2015,netexch_dk1,-7.8707,0.0,24,True,-6.1584,0.0,True
SE3,2015,netexch_fi,-8.1289,0.0,27,True,-6.1253,0.0,True
SE3,2015,netexch_no1,-9.1339,0.0,34,True,-3.3263,0.001,True
SE3,2015,netexch_se2,-9.0964,0.0,33,True,-2.3767,0.0176,True
SE3,2015,netexch_se4,-10.4175,0.0,34,True,-2.6799,0.0075,True
SE3,2016,price_ds,-8.1774,0.0,27,True,-7.109,0.0,True
SE3,2016,wind_log,-8.2086,0.0,30,True,-7.7486,0.0,True
SE3,2016,hydro_log_ds,-5.2282,0.0,24,True,-1.717,0.0846,False
SE3,2016,consump_log_ds,-7.3338,0.0,26,True,-6.9069,0.0,True
SE3,2016,oil_log,-1.0469,0.7358,0,False,-0.1412,0.6429,False
SE3,2016,gas_log,-0.0248,0.9564,0,False,-0.2911,0.5852,False
SE3,2016,netexch_dk1,-8.7653,0.0,34,True,-7.556,0.0,True
SE3,2016,netexch_fi,-6.415,0.0,36,True,-5.7949,0.0,True
SE3,2016,netexch_no1,-7.0187,0.0,28,True,-6.6463,0.0,True
SE3,2016,netexch_se2,-8.9512,0.0,37,True,-6.9761,0.0,True
SE3,2016,netexch_se4,-8.9118,0.0,34,True,-8.557,0.0,True
SE3,2017,price_ds,-10.7142,0.0,26,True,-6.0809,0.0,True
SE3,2017,wind_log,-10.5366,0.0,30,True,-5.7516,0.0,True
SE3,2017,hydro_log_ds,-5.5896,0.0,0,True,-2.0208,0.0431,True
