timestamp,price_ds,wind_log,consump_log_ds,occurrence,zone,is_se2,post_fbmc,se2_post,wind_se2,wind_post_fbmc,wind_se2_post_fbmc
2025-10-15 15:00:00,-0.10363715331179435,7.520234556474628,-0.018157405243786506,0,SE2,1,1,1,7.520234556474628,7.520234556474628,7.520234556474628
2025-10-15 16:00:00,-0.06262658019469924,7.704361167910313,-0.007028784902831653,0,SE1,0,1,0,0.0,7.704361167910313,0.0
2025-10-15 16:00:00,-0.11008369940725782,7.566311014772463,-0.03145085396730618,0,SE2,1,1,1,7.566311014772463,7.566311014772463,7.566311014772463
2025-10-15 17:00:00,-0.058996729654769986,7.77863014732581,0.010626371842547222,0,SE1,0,1,0,0.0,7.77863014732581,0.0
2025-10-15 17:00:00,-0.10196364356763965,7.629975707027789,-0.017570908510148975,0,SE2,1,1,1,7.629975707027789,7.629975707027789,7.629975707027789
2025-10-15 18:00:00,-0.04316543227263292,7.8156105320351905,-0.005247623459648132,0,SE1,0,1,0,0.0,7.8156105320351905,0.0
2025-10-15 18:00:00,-0.1066005603034137,7.734558844354756,0.0012339981203721706,0,SE2,1,1,1,7.734558844354756,7.734558844354756,7.734558844354756
2025-10-15 19:00:00,0.066661082506843,7.709308333385869,0.006671139110624225,0,SE1,0,1,0,0.0,7.709308333385869,0.0
2025-10-15 19:00:00,-0.1047492077033656,7.771488760117616,-0.014542171693082473,0,SE2,1,1,1,7.771488760117616,7.771488760117616,7.771488760117616
2025-10-15 20:00:00,-0.04853843620473697,7.709756864454165,0.002494948730240587,0,SE1,0,1,0,0.0,7.709756864454165,0.0
2025-10-15 20:00:00,-0.12699899395765435,7.7025561132685825,-0.0382479696390412,0,SE2,1,1,1,7.7025561132685825,7.7025561132685825,7.7025561132685825
2025-10-15 21:00:00,-0.01784467672785084,7.733245646529795,0.016563552245865587,0,SE1,0,1,0,0.0,7.733245646529795,0.0
2025-10-15 21:00:00,-0.10576746287174643,7.75190533307861,-0.01800453197136953,0,SE2,1,1,1,7.75190533307861,7.75190533307861,7.75190533307861
2025-10-15 22:00:00,-0.032999870194060144,7.430114138561801,0.008650854326081259,0,SE1,0,1,0,0.0,7.430114138561801,0.0
2025-10-15 22:00:00,-0.08749350301057301,7.765993079407675,0.004679609189948586,0,SE2,1,1,1,7.765993079407675,7.765993079407675,7.765993079407675
2025-10-15 23:00:00,-0.03076899292997659,7.261927092702751,0.013223512265530424,0,SE1,0,1,0,0.0,7.261927092702751,0.0
2025-10-15 23:00:00,-0.06949573596500436,7.776535028185241,-0.02315607680791487,0,SE2,1,1,1,7.776535028185241,7.776535028185241,7.776535028185241
2025-10-16 00:00:00,-0.0723585164233631,7.204892510204673,0.007275056510408717,0,SE1,0,1,0,0.0,7.204892510204673,0.0
2025-10-16 00:00:00,-0.0554369041816658,7.990576881743923,-0.029027394457568967,0,SE2,1,1,1,7.990576881743923,7.990576881743923,7.990576881743923
2025-10-16 01:00:00,-0.021454977516065732,7.123672785204607,0.00030480396351606487,0,SE1,0,1,0,0.0,7.123672785204607,0.0
2025-10-16 01:00:00,-0.04294745491109442,7.99699040583765,-0.02676159071577544,0,SE2,1,1,1,7.99699040583765,7.99699040583765,7.99699040583765
2025-10-16 02:00:00,-0.028800894171626013,7.130098510125578,0.003818244951079741,0,SE1,0,1,0,0.0,7.130098510125578,0.0
2025-10-16 02:00:00,-0.047993387784148744,7.975564658495202,-0.03754179718737216,0,SE2,1,1,1,7.975564658495202,7.975564658495202,7.975564658495202
2025-10-16 03:00:00,-0.04176862270177217,7.156176637480615,0.006570444222305127,0,SE1,0,1,0,0.0,7.156176637480615,0.0
2025-10-16 03:00:00,-0.052403716046626414,7.9672801789422,-0.027064751904435802,0,SE2,1,1,1,7.9672801789422,7.9672801789422,7.9672801789422
2025-10-16 04:00:00,-0.04541319495573681,7.231287004327616,-0.001188862209725805,0,SE1,0,1,0,0.0,7.231287004327616,0.0
2025-10-16 04:00:00,-0.060044423690391646,7.960672608388117,-0.02137474191675981,0,SE2,1,1,1,7.960672608388117,7.960672608388117,7.960672608388117
2025-10-16 05:00:00,-0.06426818408170032,7.299797366758161,0.0035986064760580305,0,SE1,0,1,0,0.0,7.299797366758161,0.0
2025-10-16 05:00:00,-0.07742751972771433,7.974532844130228,-0.005546262809724922,0,SE2,1,1,1,7.974532844130228,7.974532844130228,7.974532844130228
2025-10-16 06:00:00,-0.09982512072250316,7.468513271496337,0.005970506102745077,0,SE1,0,1,0,0.0,7.468513271496337,0.0
2025-10-16 06:00:00,-0.13284916246807477,7.925518979786926,-0.002826596241980006,0,SE2,1,1,1,7.925518979786926,7.925518979786926,7.925518979786926
